博文网址,发帖子人,博文发布时间,来自,博文内容,转发数,评论数,点赞数,博文图片,博文视频,评论者,评论内容,评论时间,评论点赞,二级评论人,二级评论内容,二级评论时间
https://www.weibo.com/1618051664/IuhcnB8UP?type=comment#_rnd1584255203632,头条新闻, 2月15日 09:16,,"
                                                                                                                        【 #6毛口罩卖1元平时售价几分钱# 是非医用劳保口罩】湖北洪湖一药房因 "" 加价 4 毛出售口罩 "" 被罚4万余元，引发争议，洪湖市市场监督管理局启动重新调查程序。同时，药房售卖的口罩因没有中文标识，亦受到质疑。2月14日，涉事洪湖华康大药房负责人回应称，该批口罩确为劳保口罩，并非医用口罩，购进的44000只均已售罄。承认""抬高价格出售，愿意接受处罚。""洪湖市市场监督管理局一名工作人员称，该药店存多项违法行为，涉事劳保口罩平时售价几分钱，且不能起到医疗防护作用，其 "" 购销差价额高于15%"" 的证据确凿，故作出处罚。（新京报）                                            ",3565,22079,343859,http://wx1.sinaimg.cn/mw690/60718250ly1gbwtj47lwhj20h40c5wfl.jpg,,做了很久的朋友,六毛钱进的平时就卖几分钱,2月15日 09:18,66692,,,
https://www.weibo.com/1618051664/IuhcnB8UP?type=comment#_rnd1584255203632,头条新闻, 2月15日 09:16,,"
                                                                                                                        【 #6毛口罩卖1元平时售价几分钱# 是非医用劳保口罩】湖北洪湖一药房因 "" 加价 4 毛出售口罩 "" 被罚4万余元，引发争议，洪湖市市场监督管理局启动重新调查程序。同时，药房售卖的口罩因没有中文标识，亦受到质疑。2月14日，涉事洪湖华康大药房负责人回应称，该批口罩确为劳保口罩，并非医用口罩，购进的44000只均已售罄。承认""抬高价格出售，愿意接受处罚。""洪湖市市场监督管理局一名工作人员称，该药店存多项违法行为，涉事劳保口罩平时售价几分钱，且不能起到医疗防护作用，其 "" 购销差价额高于15%"" 的证据确凿，故作出处罚。（新京报）                                            ",3565,22079,343859,http://wx1.sinaimg.cn/mw690/60718250ly1gbwtj47lwhj20h40c5wfl.jpg,,LynVsGrubby,那进价6毛就更不合理。,2月15日 09:19,52351,,,
https://www.weibo.com/1618051664/IuhcnB8UP?type=comment#_rnd1584255203632,头条新闻, 2月15日 09:16,,"
                                                                                                                        【 #6毛口罩卖1元平时售价几分钱# 是非医用劳保口罩】湖北洪湖一药房因 "" 加价 4 毛出售口罩 "" 被罚4万余元，引发争议，洪湖市市场监督管理局启动重新调查程序。同时，药房售卖的口罩因没有中文标识，亦受到质疑。2月14日，涉事洪湖华康大药房负责人回应称，该批口罩确为劳保口罩，并非医用口罩，购进的44000只均已售罄。承认""抬高价格出售，愿意接受处罚。""洪湖市市场监督管理局一名工作人员称，该药店存多项违法行为，涉事劳保口罩平时售价几分钱，且不能起到医疗防护作用，其 "" 购销差价额高于15%"" 的证据确凿，故作出处罚。（新京报）                                            ",3565,22079,343859,http://wx1.sinaimg.cn/mw690/60718250ly1gbwtj47lwhj20h40c5wfl.jpg,,樱桃番茄星人,进价6毛，售价几分，逗我呢,2月15日 09:19,52500,,,
https://www.weibo.com/1618051664/IuhcnB8UP?type=comment#_rnd1584255203632,头条新闻, 2月15日 09:16,,"
                                                                                                                        【 #6毛口罩卖1元平时售价几分钱# 是非医用劳保口罩】湖北洪湖一药房因 "" 加价 4 毛出售口罩 "" 被罚4万余元，引发争议，洪湖市市场监督管理局启动重新调查程序。同时，药房售卖的口罩因没有中文标识，亦受到质疑。2月14日，涉事洪湖华康大药房负责人回应称，该批口罩确为劳保口罩，并非医用口罩，购进的44000只均已售罄。承认""抬高价格出售，愿意接受处罚。""洪湖市市场监督管理局一名工作人员称，该药店存多项违法行为，涉事劳保口罩平时售价几分钱，且不能起到医疗防护作用，其 "" 购销差价额高于15%"" 的证据确凿，故作出处罚。（新京报）                                            ",3565,22079,343859,http://wx1.sinaimg.cn/mw690/60718250ly1gbwtj47lwhj20h40c5wfl.jpg,,法硕考研辅导,关键人家进价是六毛,2月15日 09:18,37802,,,
https://www.weibo.com/1618051664/IuhcnB8UP?type=comment#_rnd1584255203632,头条新闻, 2月15日 09:16,,"
                                                                                                                        【 #6毛口罩卖1元平时售价几分钱# 是非医用劳保口罩】湖北洪湖一药房因 "" 加价 4 毛出售口罩 "" 被罚4万余元，引发争议，洪湖市市场监督管理局启动重新调查程序。同时，药房售卖的口罩因没有中文标识，亦受到质疑。2月14日，涉事洪湖华康大药房负责人回应称，该批口罩确为劳保口罩，并非医用口罩，购进的44000只均已售罄。承认""抬高价格出售，愿意接受处罚。""洪湖市市场监督管理局一名工作人员称，该药店存多项违法行为，涉事劳保口罩平时售价几分钱，且不能起到医疗防护作用，其 "" 购销差价额高于15%"" 的证据确凿，故作出处罚。（新京报）                                            ",3565,22079,343859,http://wx1.sinaimg.cn/mw690/60718250ly1gbwtj47lwhj20h40c5wfl.jpg,,其实那么,平时售价几分钱？？？开什么玩笑，哪有这么便宜的口罩,2月15日 09:18,20822,,,
https://www.weibo.com/1618051664/IuhcnB8UP?type=comment#_rnd1584255203632,头条新闻, 2月15日 09:16,,"
                                                                                                                        【 #6毛口罩卖1元平时售价几分钱# 是非医用劳保口罩】湖北洪湖一药房因 "" 加价 4 毛出售口罩 "" 被罚4万余元，引发争议，洪湖市市场监督管理局启动重新调查程序。同时，药房售卖的口罩因没有中文标识，亦受到质疑。2月14日，涉事洪湖华康大药房负责人回应称，该批口罩确为劳保口罩，并非医用口罩，购进的44000只均已售罄。承认""抬高价格出售，愿意接受处罚。""洪湖市市场监督管理局一名工作人员称，该药店存多项违法行为，涉事劳保口罩平时售价几分钱，且不能起到医疗防护作用，其 "" 购销差价额高于15%"" 的证据确凿，故作出处罚。（新京报）                                            ",3565,22079,343859,http://wx1.sinaimg.cn/mw690/60718250ly1gbwtj47lwhj20h40c5wfl.jpg,,0山海皆可平0,之前不是说进价6毛吗？进价6毛怎么卖几分钱啊？,2月15日 09:19,15435,,,
https://www.weibo.com/1618051664/IuhcnB8UP?type=comment#_rnd1584255203632,头条新闻, 2月15日 09:16,,"
                                                                                                                        【 #6毛口罩卖1元平时售价几分钱# 是非医用劳保口罩】湖北洪湖一药房因 "" 加价 4 毛出售口罩 "" 被罚4万余元，引发争议，洪湖市市场监督管理局启动重新调查程序。同时，药房售卖的口罩因没有中文标识，亦受到质疑。2月14日，涉事洪湖华康大药房负责人回应称，该批口罩确为劳保口罩，并非医用口罩，购进的44000只均已售罄。承认""抬高价格出售，愿意接受处罚。""洪湖市市场监督管理局一名工作人员称，该药店存多项违法行为，涉事劳保口罩平时售价几分钱，且不能起到医疗防护作用，其 "" 购销差价额高于15%"" 的证据确凿，故作出处罚。（新京报）                                            ",3565,22079,343859,http://wx1.sinaimg.cn/mw690/60718250ly1gbwtj47lwhj20h40c5wfl.jpg,,把夹克还我94,又开始迷惑了，追溯源头啊，平时几分现在进价6毛，那是不是应该罚厂商？这个时候哄抬物价?这6毛和几分可不是15%的利润啊,2月15日 09:29,13873,,,
https://www.weibo.com/1618051664/IuhcnB8UP?type=comment#_rnd1584255203632,头条新闻, 2月15日 09:16,,"
                                                                                                                        【 #6毛口罩卖1元平时售价几分钱# 是非医用劳保口罩】湖北洪湖一药房因 "" 加价 4 毛出售口罩 "" 被罚4万余元，引发争议，洪湖市市场监督管理局启动重新调查程序。同时，药房售卖的口罩因没有中文标识，亦受到质疑。2月14日，涉事洪湖华康大药房负责人回应称，该批口罩确为劳保口罩，并非医用口罩，购进的44000只均已售罄。承认""抬高价格出售，愿意接受处罚。""洪湖市市场监督管理局一名工作人员称，该药店存多项违法行为，涉事劳保口罩平时售价几分钱，且不能起到医疗防护作用，其 "" 购销差价额高于15%"" 的证据确凿，故作出处罚。（新京报）                                            ",3565,22079,343859,http://wx1.sinaimg.cn/mw690/60718250ly1gbwtj47lwhj20h40c5wfl.jpg,,·幼依·,非医用不也是这个价？一块一个口罩还贵吗？,2月15日 09:17,8642,,,
https://www.weibo.com/1618051664/IuhcnB8UP?type=comment#_rnd1584255203632,头条新闻, 2月15日 09:16,,"
                                                                                                                        【 #6毛口罩卖1元平时售价几分钱# 是非医用劳保口罩】湖北洪湖一药房因 "" 加价 4 毛出售口罩 "" 被罚4万余元，引发争议，洪湖市市场监督管理局启动重新调查程序。同时，药房售卖的口罩因没有中文标识，亦受到质疑。2月14日，涉事洪湖华康大药房负责人回应称，该批口罩确为劳保口罩，并非医用口罩，购进的44000只均已售罄。承认""抬高价格出售，愿意接受处罚。""洪湖市市场监督管理局一名工作人员称，该药店存多项违法行为，涉事劳保口罩平时售价几分钱，且不能起到医疗防护作用，其 "" 购销差价额高于15%"" 的证据确凿，故作出处罚。（新京报）                                            ",3565,22079,343859,http://wx1.sinaimg.cn/mw690/60718250ly1gbwtj47lwhj20h40c5wfl.jpg,,千黛汐Rebecca,现在这个时期能买到一块钱一只的口罩真的很良心了,2月15日 09:17,8574,,,
https://www.weibo.com/1618051664/IuhcnB8UP?type=comment#_rnd1584255203632,头条新闻, 2月15日 09:16,,"
                                                                                                                        【 #6毛口罩卖1元平时售价几分钱# 是非医用劳保口罩】湖北洪湖一药房因 "" 加价 4 毛出售口罩 "" 被罚4万余元，引发争议，洪湖市市场监督管理局启动重新调查程序。同时，药房售卖的口罩因没有中文标识，亦受到质疑。2月14日，涉事洪湖华康大药房负责人回应称，该批口罩确为劳保口罩，并非医用口罩，购进的44000只均已售罄。承认""抬高价格出售，愿意接受处罚。""洪湖市市场监督管理局一名工作人员称，该药店存多项违法行为，涉事劳保口罩平时售价几分钱，且不能起到医疗防护作用，其 "" 购销差价额高于15%"" 的证据确凿，故作出处罚。（新京报）                                            ",3565,22079,343859,http://wx1.sinaimg.cn/mw690/60718250ly1gbwtj47lwhj20h40c5wfl.jpg,,想当锦鲤的弯弯,可是进价是6毛呀，非常时期跟平时不能比的,2月15日 09:17,6442,,,
https://www.weibo.com/1618051664/IuhcnB8UP?type=comment#_rnd1584255203632,头条新闻, 2月15日 09:16,,"
                                                                                                                        【 #6毛口罩卖1元平时售价几分钱# 是非医用劳保口罩】湖北洪湖一药房因 "" 加价 4 毛出售口罩 "" 被罚4万余元，引发争议，洪湖市市场监督管理局启动重新调查程序。同时，药房售卖的口罩因没有中文标识，亦受到质疑。2月14日，涉事洪湖华康大药房负责人回应称，该批口罩确为劳保口罩，并非医用口罩，购进的44000只均已售罄。承认""抬高价格出售，愿意接受处罚。""洪湖市市场监督管理局一名工作人员称，该药店存多项违法行为，涉事劳保口罩平时售价几分钱，且不能起到医疗防护作用，其 "" 购销差价额高于15%"" 的证据确凿，故作出处罚。（新京报）                                            ",3565,22079,343859,http://wx1.sinaimg.cn/mw690/60718250ly1gbwtj47lwhj20h40c5wfl.jpg,,要要要喝奶茶,就看以后哪个药店敢卖口罩吧,2月15日 09:17,6439,,,
https://www.weibo.com/1618051664/IuhcnB8UP?type=comment#_rnd1584255203632,头条新闻, 2月15日 09:16,,"
                                                                                                                        【 #6毛口罩卖1元平时售价几分钱# 是非医用劳保口罩】湖北洪湖一药房因 "" 加价 4 毛出售口罩 "" 被罚4万余元，引发争议，洪湖市市场监督管理局启动重新调查程序。同时，药房售卖的口罩因没有中文标识，亦受到质疑。2月14日，涉事洪湖华康大药房负责人回应称，该批口罩确为劳保口罩，并非医用口罩，购进的44000只均已售罄。承认""抬高价格出售，愿意接受处罚。""洪湖市市场监督管理局一名工作人员称，该药店存多项违法行为，涉事劳保口罩平时售价几分钱，且不能起到医疗防护作用，其 "" 购销差价额高于15%"" 的证据确凿，故作出处罚。（新京报）                                            ",3565,22079,343859,http://wx1.sinaimg.cn/mw690/60718250ly1gbwtj47lwhj20h40c5wfl.jpg,,Marisol--ph,他们承认自己错误是有多难？,2月15日 11:38,6441,,,
https://www.weibo.com/1618051664/IuhcnB8UP?type=comment#_rnd1584255203632,头条新闻, 2月15日 09:16,,"
                                                                                                                        【 #6毛口罩卖1元平时售价几分钱# 是非医用劳保口罩】湖北洪湖一药房因 "" 加价 4 毛出售口罩 "" 被罚4万余元，引发争议，洪湖市市场监督管理局启动重新调查程序。同时，药房售卖的口罩因没有中文标识，亦受到质疑。2月14日，涉事洪湖华康大药房负责人回应称，该批口罩确为劳保口罩，并非医用口罩，购进的44000只均已售罄。承认""抬高价格出售，愿意接受处罚。""洪湖市市场监督管理局一名工作人员称，该药店存多项违法行为，涉事劳保口罩平时售价几分钱，且不能起到医疗防护作用，其 "" 购销差价额高于15%"" 的证据确凿，故作出处罚。（新京报）                                            ",3565,22079,343859,http://wx1.sinaimg.cn/mw690/60718250ly1gbwtj47lwhj20h40c5wfl.jpg,,咖啡里加盐,指鹿为马，那更应该查进货渠道。再说现在有哪样东西不是比成本价高15%卖的？,2月15日 09:29,4008,,,
https://www.weibo.com/1618051664/IuhcnB8UP?type=comment#_rnd1584255203632,头条新闻, 2月15日 09:16,,"
                                                                                                                        【 #6毛口罩卖1元平时售价几分钱# 是非医用劳保口罩】湖北洪湖一药房因 "" 加价 4 毛出售口罩 "" 被罚4万余元，引发争议，洪湖市市场监督管理局启动重新调查程序。同时，药房售卖的口罩因没有中文标识，亦受到质疑。2月14日，涉事洪湖华康大药房负责人回应称，该批口罩确为劳保口罩，并非医用口罩，购进的44000只均已售罄。承认""抬高价格出售，愿意接受处罚。""洪湖市市场监督管理局一名工作人员称，该药店存多项违法行为，涉事劳保口罩平时售价几分钱，且不能起到医疗防护作用，其 "" 购销差价额高于15%"" 的证据确凿，故作出处罚。（新京报）                                            ",3565,22079,343859,http://wx1.sinaimg.cn/mw690/60718250ly1gbwtj47lwhj20h40c5wfl.jpg,,涵妮和雪晴,自己说的平时，现在是平时？几分加到六毛没事，六毛加到一元处罚。软柿子好欺负是吧？真的，麻烦当官的做点人事。,2月15日 11:38,3886,,,
