博文网址,发帖子人,博文发布时间,来自,博文内容,转发数,评论数,点赞数,博文图片,博文视频,评论者,评论内容,评论时间,评论点赞,二级评论人,二级评论内容,二级评论时间
https://www.weibo.com/1640601392/Is5y0y9lZ?refer_flag=1001030103_&type=comment,新浪视频, 1月31日 23:56,iPhone客户端,"
                                                                                                                        【#网售双黄连口服液基本脱销# 你参与抢购了吗？】在中国科学院上海药物所和武汉病毒所今晚联合发布#双黄连可抑制新型冠状病毒#后，记者查询各大药房网上销售渠道发现，“双黄连口服液”已经基本脱销。 ​​​ R新浪视频的微博投票 ​​​​                                            ",15862,23480,2159560,,,DawnWong潼恩,根本不需要双黄连，也不需要口罩，8天没出门的我已经看穿了这次疫情，只要坚持住不出门，不怕N95口罩涨价，也不怕双黄连脱销，就一动不动的躺床上，享受一毛钱不用花带来的安全感，又健康又省钱！​​​,2月1日 00:04,43401,,,
https://www.weibo.com/1640601392/Is5y0y9lZ?refer_flag=1001030103_&type=comment,新浪视频, 1月31日 23:56,iPhone客户端,"
                                                                                                                        【#网售双黄连口服液基本脱销# 你参与抢购了吗？】在中国科学院上海药物所和武汉病毒所今晚联合发布#双黄连可抑制新型冠状病毒#后，记者查询各大药房网上销售渠道发现，“双黄连口服液”已经基本脱销。 ​​​ R新浪视频的微博投票 ​​​​                                            ",15862,23480,2159560,,,潇小鱼,考验智商的时候到了，非典是板蓝根，现在是双黄连,1月31日 23:57,18886,,,
https://www.weibo.com/1640601392/Is5y0y9lZ?refer_flag=1001030103_&type=comment,新浪视频, 1月31日 23:56,iPhone客户端,"
                                                                                                                        【#网售双黄连口服液基本脱销# 你参与抢购了吗？】在中国科学院上海药物所和武汉病毒所今晚联合发布#双黄连可抑制新型冠状病毒#后，记者查询各大药房网上销售渠道发现，“双黄连口服液”已经基本脱销。 ​​​ R新浪视频的微博投票 ​​​​                                            ",15862,23480,2159560,,,Rx_Tai,真的有用的话，留给更需要的人不好吗，你又没病囤这个以后洗澡？,1月31日 23:58,10743,,,
https://www.weibo.com/1640601392/Is5y0y9lZ?refer_flag=1001030103_&type=comment,新浪视频, 1月31日 23:56,iPhone客户端,"
                                                                                                                        【#网售双黄连口服液基本脱销# 你参与抢购了吗？】在中国科学院上海药物所和武汉病毒所今晚联合发布#双黄连可抑制新型冠状病毒#后，记者查询各大药房网上销售渠道发现，“双黄连口服液”已经基本脱销。 ​​​ R新浪视频的微博投票 ​​​​                                            ",15862,23480,2159560,,,马乔乔要上天入地,专家说双黄连口服液管用你们一秒抢光了专家说不出门你们咋就跟聋了似的,2月1日 00:21,9137,,,
https://www.weibo.com/1640601392/Is5y0y9lZ?refer_flag=1001030103_&type=comment,新浪视频, 1月31日 23:56,iPhone客户端,"
                                                                                                                        【#网售双黄连口服液基本脱销# 你参与抢购了吗？】在中国科学院上海药物所和武汉病毒所今晚联合发布#双黄连可抑制新型冠状病毒#后，记者查询各大药房网上销售渠道发现，“双黄连口服液”已经基本脱销。 ​​​ R新浪视频的微博投票 ​​​​                                            ",15862,23480,2159560,,,联合参谋部战略忽悠局,我又不出门，买那玩意干啥,1月31日 23:56,3694,,,
https://www.weibo.com/1640601392/Is5y0y9lZ?refer_flag=1001030103_&type=comment,新浪视频, 1月31日 23:56,iPhone客户端,"
                                                                                                                        【#网售双黄连口服液基本脱销# 你参与抢购了吗？】在中国科学院上海药物所和武汉病毒所今晚联合发布#双黄连可抑制新型冠状病毒#后，记者查询各大药房网上销售渠道发现，“双黄连口服液”已经基本脱销。 ​​​ R新浪视频的微博投票 ​​​​                                            ",15862,23480,2159560,,,努力想要变白的黑黑,这种应该是被传染了才有用吧？,1月31日 23:57,1740,,,
https://www.weibo.com/1640601392/Is5y0y9lZ?refer_flag=1001030103_&type=comment,新浪视频, 1月31日 23:56,iPhone客户端,"
                                                                                                                        【#网售双黄连口服液基本脱销# 你参与抢购了吗？】在中国科学院上海药物所和武汉病毒所今晚联合发布#双黄连可抑制新型冠状病毒#后，记者查询各大药房网上销售渠道发现，“双黄连口服液”已经基本脱销。 ​​​ R新浪视频的微博投票 ​​​​                                            ",15862,23480,2159560,,,WaiteX,据说双黄莲蓉月饼也脱销了？这特么是一个双黄连吗？,2月1日 00:22,1702,,,
https://www.weibo.com/1640601392/Is5y0y9lZ?refer_flag=1001030103_&type=comment,新浪视频, 1月31日 23:56,iPhone客户端,"
                                                                                                                        【#网售双黄连口服液基本脱销# 你参与抢购了吗？】在中国科学院上海药物所和武汉病毒所今晚联合发布#双黄连可抑制新型冠状病毒#后，记者查询各大药房网上销售渠道发现，“双黄连口服液”已经基本脱销。 ​​​ R新浪视频的微博投票 ​​​​                                            ",15862,23480,2159560,,,中健健身集团LM,哑巴吃黄连，傻子吃双黄连。,2月1日 00:26,1498,,,
https://www.weibo.com/1640601392/Is5y0y9lZ?refer_flag=1001030103_&type=comment,新浪视频, 1月31日 23:56,iPhone客户端,"
                                                                                                                        【#网售双黄连口服液基本脱销# 你参与抢购了吗？】在中国科学院上海药物所和武汉病毒所今晚联合发布#双黄连可抑制新型冠状病毒#后，记者查询各大药房网上销售渠道发现，“双黄连口服液”已经基本脱销。 ​​​ R新浪视频的微博投票 ​​​​                                            ",15862,23480,2159560,,,-_我旳快樂是你,其实我觉得正常人备一点是好的，但是那种大量囤货的就不好了吧，留一点给真正需要到的人才是皆大欢喜,2月1日 00:06,1229,,,
https://www.weibo.com/1640601392/Is5y0y9lZ?refer_flag=1001030103_&type=comment,新浪视频, 1月31日 23:56,iPhone客户端,"
                                                                                                                        【#网售双黄连口服液基本脱销# 你参与抢购了吗？】在中国科学院上海药物所和武汉病毒所今晚联合发布#双黄连可抑制新型冠状病毒#后，记者查询各大药房网上销售渠道发现，“双黄连口服液”已经基本脱销。 ​​​ R新浪视频的微博投票 ​​​​                                            ",15862,23480,2159560,,,北屿川_,别的不担心，就怕明天药店一扎堆，一个星期的隔离都白费了。,2月1日 00:29,1054,,,
