博文网址,发帖子人,博文发布时间,来自,博文内容,转发数,评论数,点赞数,博文图片,博文视频,评论者,评论内容,评论时间,评论点赞,二级评论人,二级评论内容,二级评论时间
https://www.weibo.com/6004281123/IvAjvuONG?type=comment,梨视频, 2月23日 23:46,微博 weibo.com,"
                                                                                                                        【#武功山游客爆满发紧急通告#：限流人数下调至3000人】2月23日，江西萍乡，大量游客聚集武功山景区，景区紧急发布通告：根据景区防疫防控要求，为确保游客的舒适度和健康安全，从即时起停售当日景区门票、索道票；2月24日起，景区限流人数从5000人下调至3000人，关闭线下售票窗口。@一手Video L一手video的秒拍视频                                            ",13835,67964,1027521,,"http://miaopai.video.weibocdn.com/Gvdip7SLlx07BbE0xmxO01041200hs1w0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1584259156&ssig=2IpFFjNPPs&KID=unistore,video&media_id=2017607:4475273308209174&tp=4I9dsnLDkOtvn9CFcGsKrrEH22ZfNn:4I9dsnLDkOtvn9CFcGsKrrEH22ZfNn&us=0&ori=0&ctb=0&ot=v&ps=4pdsh0&ab=1326-g0,540-g1,966-g1,1055-g0,878-g1,1493-g0,1192-g0,1091-g1,1191-g0,1046-g2,1258-g0,1887-g2,495-g0",杠精大赏,？？？关闭景区可以吗？,2月23日 23:47,133099,,,
https://www.weibo.com/6004281123/IvAjvuONG?type=comment,梨视频, 2月23日 23:46,微博 weibo.com,"
                                                                                                                        【#武功山游客爆满发紧急通告#：限流人数下调至3000人】2月23日，江西萍乡，大量游客聚集武功山景区，景区紧急发布通告：根据景区防疫防控要求，为确保游客的舒适度和健康安全，从即时起停售当日景区门票、索道票；2月24日起，景区限流人数从5000人下调至3000人，关闭线下售票窗口。@一手Video L一手video的秒拍视频                                            ",13835,67964,1027521,,"http://miaopai.video.weibocdn.com/Gvdip7SLlx07BbE0xmxO01041200hs1w0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1584259156&ssig=2IpFFjNPPs&KID=unistore,video&media_id=2017607:4475273308209174&tp=4I9dsnLDkOtvn9CFcGsKrrEH22ZfNn:4I9dsnLDkOtvn9CFcGsKrrEH22ZfNn&us=0&ori=0&ctb=0&ot=v&ps=4pdsh0&ab=1326-g0,540-g1,966-g1,1055-g0,878-g1,1493-g0,1192-g0,1091-g1,1191-g0,1046-g2,1258-g0,1887-g2,495-g0",杠精大赏,？？？关闭景区可以吗？,2月23日 23:47,133099,饼饼82,"
            饼饼82：重要的工厂，采购市场都没急着开，结果景区急着开了，什么东西啊。        ",2月24日 00:06
https://www.weibo.com/6004281123/IvAjvuONG?type=comment,梨视频, 2月23日 23:46,微博 weibo.com,"
                                                                                                                        【#武功山游客爆满发紧急通告#：限流人数下调至3000人】2月23日，江西萍乡，大量游客聚集武功山景区，景区紧急发布通告：根据景区防疫防控要求，为确保游客的舒适度和健康安全，从即时起停售当日景区门票、索道票；2月24日起，景区限流人数从5000人下调至3000人，关闭线下售票窗口。@一手Video L一手video的秒拍视频                                            ",13835,67964,1027521,,"http://miaopai.video.weibocdn.com/Gvdip7SLlx07BbE0xmxO01041200hs1w0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1584259156&ssig=2IpFFjNPPs&KID=unistore,video&media_id=2017607:4475273308209174&tp=4I9dsnLDkOtvn9CFcGsKrrEH22ZfNn:4I9dsnLDkOtvn9CFcGsKrrEH22ZfNn&us=0&ori=0&ctb=0&ot=v&ps=4pdsh0&ab=1326-g0,540-g1,966-g1,1055-g0,878-g1,1493-g0,1192-g0,1091-g1,1191-g0,1046-g2,1258-g0,1887-g2,495-g0",饼饼82,重要的工厂，采购市场都没急着开，结果景区急着开了，什么东西啊。,2月24日 00:06,56186,白马措吉,"
            白马措吉：我是一个旅游，从业人员都真的不建议景区现在开放。说实话景区是负担最小的一种经营模式。真的，不要为了蝇头小利给国家添大乱。损失惨重的航空公司和酒店都没说啥。        ",2月24日 03:45
https://www.weibo.com/6004281123/IvAjvuONG?type=comment,梨视频, 2月23日 23:46,微博 weibo.com,"
                                                                                                                        【#武功山游客爆满发紧急通告#：限流人数下调至3000人】2月23日，江西萍乡，大量游客聚集武功山景区，景区紧急发布通告：根据景区防疫防控要求，为确保游客的舒适度和健康安全，从即时起停售当日景区门票、索道票；2月24日起，景区限流人数从5000人下调至3000人，关闭线下售票窗口。@一手Video L一手video的秒拍视频                                            ",13835,67964,1027521,,"http://miaopai.video.weibocdn.com/Gvdip7SLlx07BbE0xmxO01041200hs1w0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1584259156&ssig=2IpFFjNPPs&KID=unistore,video&media_id=2017607:4475273308209174&tp=4I9dsnLDkOtvn9CFcGsKrrEH22ZfNn:4I9dsnLDkOtvn9CFcGsKrrEH22ZfNn&us=0&ori=0&ctb=0&ot=v&ps=4pdsh0&ab=1326-g0,540-g1,966-g1,1055-g0,878-g1,1493-g0,1192-g0,1091-g1,1191-g0,1046-g2,1258-g0,1887-g2,495-g0",白马措吉,我是一个旅游，从业人员都真的不建议景区现在开放。说实话景区是负担最小的一种经营模式。真的，不要为了蝇头小利给国家添大乱。损失惨重的航空公司和酒店都没说啥。,2月24日 03:45,40137,温柔我欲罢不能,"
            温柔我欲罢不能：这些景区真他妈该死，逛景区的人更该死……全国各地多少医生奔赴一线，全国各地多少公职人员日夜不停的值守再防疫防控的第一线，拿着生命在冒险，保卫着大家的安全，在家待了一个月，就跟不出门会死似的，扎堆往景区跑……你特么这么闲去武汉做志愿者啊，去各个街道做志愿者啊        ",2月24日 07:32
https://www.weibo.com/6004281123/IvAjvuONG?type=comment,梨视频, 2月23日 23:46,微博 weibo.com,"
                                                                                                                        【#武功山游客爆满发紧急通告#：限流人数下调至3000人】2月23日，江西萍乡，大量游客聚集武功山景区，景区紧急发布通告：根据景区防疫防控要求，为确保游客的舒适度和健康安全，从即时起停售当日景区门票、索道票；2月24日起，景区限流人数从5000人下调至3000人，关闭线下售票窗口。@一手Video L一手video的秒拍视频                                            ",13835,67964,1027521,,"http://miaopai.video.weibocdn.com/Gvdip7SLlx07BbE0xmxO01041200hs1w0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1584259156&ssig=2IpFFjNPPs&KID=unistore,video&media_id=2017607:4475273308209174&tp=4I9dsnLDkOtvn9CFcGsKrrEH22ZfNn:4I9dsnLDkOtvn9CFcGsKrrEH22ZfNn&us=0&ori=0&ctb=0&ot=v&ps=4pdsh0&ab=1326-g0,540-g1,966-g1,1055-g0,878-g1,1493-g0,1192-g0,1091-g1,1191-g0,1046-g2,1258-g0,1887-g2,495-g0",温柔我欲罢不能,这些景区真他妈该死，逛景区的人更该死……全国各地多少医生奔赴一线，全国各地多少公职人员日夜不停的值守再防疫防控的第一线，拿着生命在冒险，保卫着大家的安全，在家待了一个月，就跟不出门会死似的，扎堆往景区跑……你特么这么闲去武汉做志愿者啊，去各个街道做志愿者啊,2月24日 07:32,36538,摸着石头过河的小猴子,"
            摸着石头过河的小猴子：恢复正常生活生产就行了呗，景区着啥急。。先保命不行吗！！！        ",2月24日 07:46
https://www.weibo.com/6004281123/IvAjvuONG?type=comment,梨视频, 2月23日 23:46,微博 weibo.com,"
                                                                                                                        【#武功山游客爆满发紧急通告#：限流人数下调至3000人】2月23日，江西萍乡，大量游客聚集武功山景区，景区紧急发布通告：根据景区防疫防控要求，为确保游客的舒适度和健康安全，从即时起停售当日景区门票、索道票；2月24日起，景区限流人数从5000人下调至3000人，关闭线下售票窗口。@一手Video L一手video的秒拍视频                                            ",13835,67964,1027521,,"http://miaopai.video.weibocdn.com/Gvdip7SLlx07BbE0xmxO01041200hs1w0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1584259156&ssig=2IpFFjNPPs&KID=unistore,video&media_id=2017607:4475273308209174&tp=4I9dsnLDkOtvn9CFcGsKrrEH22ZfNn:4I9dsnLDkOtvn9CFcGsKrrEH22ZfNn&us=0&ori=0&ctb=0&ot=v&ps=4pdsh0&ab=1326-g0,540-g1,966-g1,1055-g0,878-g1,1493-g0,1192-g0,1091-g1,1191-g0,1046-g2,1258-g0,1887-g2,495-g0",摸着石头过河的小猴子,恢复正常生活生产就行了呗，景区着啥急。。先保命不行吗！！！,2月24日 07:46,19662,午夜的柠檬,"
            午夜的柠檬：如果因为去景区旅游导致确诊的，国家能否取消免费医治，让他们医疗费自理，一群混蛋，中邪了吧        ",2月24日 07:48
https://www.weibo.com/6004281123/IvAjvuONG?type=comment,梨视频, 2月23日 23:46,微博 weibo.com,"
                                                                                                                        【#武功山游客爆满发紧急通告#：限流人数下调至3000人】2月23日，江西萍乡，大量游客聚集武功山景区，景区紧急发布通告：根据景区防疫防控要求，为确保游客的舒适度和健康安全，从即时起停售当日景区门票、索道票；2月24日起，景区限流人数从5000人下调至3000人，关闭线下售票窗口。@一手Video L一手video的秒拍视频                                            ",13835,67964,1027521,,"http://miaopai.video.weibocdn.com/Gvdip7SLlx07BbE0xmxO01041200hs1w0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1584259156&ssig=2IpFFjNPPs&KID=unistore,video&media_id=2017607:4475273308209174&tp=4I9dsnLDkOtvn9CFcGsKrrEH22ZfNn:4I9dsnLDkOtvn9CFcGsKrrEH22ZfNn&us=0&ori=0&ctb=0&ot=v&ps=4pdsh0&ab=1326-g0,540-g1,966-g1,1055-g0,878-g1,1493-g0,1192-g0,1091-g1,1191-g0,1046-g2,1258-g0,1887-g2,495-g0",午夜的柠檬,如果因为去景区旅游导致确诊的，国家能否取消免费医治，让他们医疗费自理，一群混蛋，中邪了吧,2月24日 07:48,19124,一池甜分,"
            一池甜分：前线医务人员这么辛苦..        ",2月23日 23:52
https://www.weibo.com/6004281123/IvAjvuONG?type=comment,梨视频, 2月23日 23:46,微博 weibo.com,"
                                                                                                                        【#武功山游客爆满发紧急通告#：限流人数下调至3000人】2月23日，江西萍乡，大量游客聚集武功山景区，景区紧急发布通告：根据景区防疫防控要求，为确保游客的舒适度和健康安全，从即时起停售当日景区门票、索道票；2月24日起，景区限流人数从5000人下调至3000人，关闭线下售票窗口。@一手Video L一手video的秒拍视频                                            ",13835,67964,1027521,,"http://miaopai.video.weibocdn.com/Gvdip7SLlx07BbE0xmxO01041200hs1w0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1584259156&ssig=2IpFFjNPPs&KID=unistore,video&media_id=2017607:4475273308209174&tp=4I9dsnLDkOtvn9CFcGsKrrEH22ZfNn:4I9dsnLDkOtvn9CFcGsKrrEH22ZfNn&us=0&ori=0&ctb=0&ot=v&ps=4pdsh0&ab=1326-g0,540-g1,966-g1,1055-g0,878-g1,1493-g0,1192-g0,1091-g1,1191-g0,1046-g2,1258-g0,1887-g2,495-g0",一池甜分,前线医务人员这么辛苦..,2月23日 23:52,7937,心如向暖安之若素,"
            心如向暖安之若素：景区为啥要急着开放        ",2月24日 07:43
https://www.weibo.com/6004281123/IvAjvuONG?type=comment,梨视频, 2月23日 23:46,微博 weibo.com,"
                                                                                                                        【#武功山游客爆满发紧急通告#：限流人数下调至3000人】2月23日，江西萍乡，大量游客聚集武功山景区，景区紧急发布通告：根据景区防疫防控要求，为确保游客的舒适度和健康安全，从即时起停售当日景区门票、索道票；2月24日起，景区限流人数从5000人下调至3000人，关闭线下售票窗口。@一手Video L一手video的秒拍视频                                            ",13835,67964,1027521,,"http://miaopai.video.weibocdn.com/Gvdip7SLlx07BbE0xmxO01041200hs1w0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1584259156&ssig=2IpFFjNPPs&KID=unistore,video&media_id=2017607:4475273308209174&tp=4I9dsnLDkOtvn9CFcGsKrrEH22ZfNn:4I9dsnLDkOtvn9CFcGsKrrEH22ZfNn&us=0&ori=0&ctb=0&ot=v&ps=4pdsh0&ab=1326-g0,540-g1,966-g1,1055-g0,878-g1,1493-g0,1192-g0,1091-g1,1191-g0,1046-g2,1258-g0,1887-g2,495-g0",心如向暖安之若素,景区为啥要急着开放,2月24日 07:43,6730,摸着石头过河的小猴子,"
            摸着石头过河的小猴子：这些人也是有病吧？？？这么多人你也不怕飞沫传播？就那么着急出去花钱？？？钱多往疫区捐点不好吗？！        ",2月24日 07:48
https://www.weibo.com/6004281123/IvAjvuONG?type=comment,梨视频, 2月23日 23:46,微博 weibo.com,"
                                                                                                                        【#武功山游客爆满发紧急通告#：限流人数下调至3000人】2月23日，江西萍乡，大量游客聚集武功山景区，景区紧急发布通告：根据景区防疫防控要求，为确保游客的舒适度和健康安全，从即时起停售当日景区门票、索道票；2月24日起，景区限流人数从5000人下调至3000人，关闭线下售票窗口。@一手Video L一手video的秒拍视频                                            ",13835,67964,1027521,,"http://miaopai.video.weibocdn.com/Gvdip7SLlx07BbE0xmxO01041200hs1w0E013.mp4?label=mp4_720p&template=504x896.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&Expires=1584259156&ssig=2IpFFjNPPs&KID=unistore,video&media_id=2017607:4475273308209174&tp=4I9dsnLDkOtvn9CFcGsKrrEH22ZfNn:4I9dsnLDkOtvn9CFcGsKrrEH22ZfNn&us=0&ori=0&ctb=0&ot=v&ps=4pdsh0&ab=1326-g0,540-g1,966-g1,1055-g0,878-g1,1493-g0,1192-g0,1091-g1,1191-g0,1046-g2,1258-g0,1887-g2,495-g0",摸着石头过河的小猴子,这些人也是有病吧？？？这么多人你也不怕飞沫传播？就那么着急出去花钱？？？钱多往疫区捐点不好吗？！,2月24日 07:48,4572,赵叨叨zzz,"
            赵叨叨zzz：别人工厂和一些民生保障都还没全开，你一个景区赶着去投胎吗？这些游客我tm也服气。        ",2月24日 07:51
