博文网址,发帖子人,博文发布时间,来自,博文内容,转发数,评论数,点赞数,博文图片,博文视频,评论者,评论内容,评论时间,评论点赞,二级评论人,二级评论内容,二级评论时间
https://www.weibo.com/2656274875/IqMSi6ruL?type=comment,央视新闻, 1月23日 10:33,微博网页版,"
                                                                                                                        【直播！#肺炎疫情下的春运#】春运高峰，央视新闻在武汉、天津、长沙等多地火车站、机场直击肺炎疫情下的春运。在交通枢纽人流密集的地方应如何做好疫情防控？踏上归乡旅途的人们出行情况如何？直击肺炎疫情下的全国春运！（总台央视记者倪晶依 金珠 蒋晓平 郑波 王冰冰 丁旭 苏安阳 陈杨 高珧） O央视新闻的微博直播 .                                            ",4715,50571,693296,,,爱粉的小可爱,一位武汉朋友的朋友圈：这绝非是一个容易的决定这是一个极其艰难宛如壮士断腕的决定这不是一个“早该如此”的冷眼旁观但也不是一个“草木皆兵”的恐怖宣召这是一场需要团结、自觉、勇气和毅力的战争愿每个人都能平安健康愿所有医护工作者都能平安健康向你们致以最崇高的敬意,1月23日 10:34,28161,,,
https://www.weibo.com/2656274875/IqMSi6ruL?type=comment,央视新闻, 1月23日 10:33,微博网页版,"
                                                                                                                        【直播！#肺炎疫情下的春运#】春运高峰，央视新闻在武汉、天津、长沙等多地火车站、机场直击肺炎疫情下的春运。在交通枢纽人流密集的地方应如何做好疫情防控？踏上归乡旅途的人们出行情况如何？直击肺炎疫情下的全国春运！（总台央视记者倪晶依 金珠 蒋晓平 郑波 王冰冰 丁旭 苏安阳 陈杨 高珧） O央视新闻的微博直播 .                                            ",4715,50571,693296,,,爱粉的小可爱,一位武汉朋友的朋友圈：这绝非是一个容易的决定这是一个极其艰难宛如壮士断腕的决定这不是一个“早该如此”的冷眼旁观但也不是一个“草木皆兵”的恐怖宣召这是一场需要团结、自觉、勇气和毅力的战争愿每个人都能平安健康愿所有医护工作者都能平安健康向你们致以最崇高的敬意,1月23日 10:34,28161,快落的二傻子,"
            快落的二傻子：还在当地的人替我们扛住了很多压力，不要互相指责了，现在要更加团结，举国保障武汉本地的物资供应，病毒已经很让人害怕了，别让物资短缺再造成恐慌        ",1月23日 10:40
https://www.weibo.com/2656274875/IqMSi6ruL?type=comment,央视新闻, 1月23日 10:33,微博网页版,"
                                                                                                                        【直播！#肺炎疫情下的春运#】春运高峰，央视新闻在武汉、天津、长沙等多地火车站、机场直击肺炎疫情下的春运。在交通枢纽人流密集的地方应如何做好疫情防控？踏上归乡旅途的人们出行情况如何？直击肺炎疫情下的全国春运！（总台央视记者倪晶依 金珠 蒋晓平 郑波 王冰冰 丁旭 苏安阳 陈杨 高珧） O央视新闻的微博直播 .                                            ",4715,50571,693296,,,快落的二傻子,还在当地的人替我们扛住了很多压力，不要互相指责了，现在要更加团结，举国保障武汉本地的物资供应，病毒已经很让人害怕了，别让物资短缺再造成恐慌,1月23日 10:40,4641,居宝宝呀,"
            居宝宝呀：武汉的情况要比报道的严重，现在医院看发热的都是几百人排队，疑似病例都无法确定了，那个试纸已经没有了，供不应求，很多发热的只能拿点药先回家隔离，希望封城不算太晚，过年大家平安        ",1月23日 11:46
https://www.weibo.com/2656274875/IqMSi6ruL?type=comment,央视新闻, 1月23日 10:33,微博网页版,"
                                                                                                                        【直播！#肺炎疫情下的春运#】春运高峰，央视新闻在武汉、天津、长沙等多地火车站、机场直击肺炎疫情下的春运。在交通枢纽人流密集的地方应如何做好疫情防控？踏上归乡旅途的人们出行情况如何？直击肺炎疫情下的全国春运！（总台央视记者倪晶依 金珠 蒋晓平 郑波 王冰冰 丁旭 苏安阳 陈杨 高珧） O央视新闻的微博直播 .                                            ",4715,50571,693296,,,居宝宝呀,武汉的情况要比报道的严重，现在医院看发热的都是几百人排队，疑似病例都无法确定了，那个试纸已经没有了，供不应求，很多发热的只能拿点药先回家隔离，希望封城不算太晚，过年大家平安,1月23日 11:46,3447,EEVeng,"
            EEVeng：我们内蒙本来没有疫情，可是一名武汉的病毒携带者来内蒙自驾游，疫情新闻满天飞，可是在这样的环境下，他还是辗转了几个城市，锡林浩特市，阿尔山，满洲里，最后在呼伦贝尔被扣下收入医院，你觉得我们该什么心情？        ",1月23日 13:06
https://www.weibo.com/2656274875/IqMSi6ruL?type=comment,央视新闻, 1月23日 10:33,微博网页版,"
                                                                                                                        【直播！#肺炎疫情下的春运#】春运高峰，央视新闻在武汉、天津、长沙等多地火车站、机场直击肺炎疫情下的春运。在交通枢纽人流密集的地方应如何做好疫情防控？踏上归乡旅途的人们出行情况如何？直击肺炎疫情下的全国春运！（总台央视记者倪晶依 金珠 蒋晓平 郑波 王冰冰 丁旭 苏安阳 陈杨 高珧） O央视新闻的微博直播 .                                            ",4715,50571,693296,,,EEVeng,我们内蒙本来没有疫情，可是一名武汉的病毒携带者来内蒙自驾游，疫情新闻满天飞，可是在这样的环境下，他还是辗转了几个城市，锡林浩特市，阿尔山，满洲里，最后在呼伦贝尔被扣下收入医院，你觉得我们该什么心情？,1月23日 13:06,1544,没有人比我衣服还多的品如,"
            没有人比我衣服还多的品如：现在一颗白菜35，口罩买不到，不知道所谓投放的物资哪去了，快管管武汉物价吧，菜都吃不起了        ",1月23日 12:40
https://www.weibo.com/2656274875/IqMSi6ruL?type=comment,央视新闻, 1月23日 10:33,微博网页版,"
                                                                                                                        【直播！#肺炎疫情下的春运#】春运高峰，央视新闻在武汉、天津、长沙等多地火车站、机场直击肺炎疫情下的春运。在交通枢纽人流密集的地方应如何做好疫情防控？踏上归乡旅途的人们出行情况如何？直击肺炎疫情下的全国春运！（总台央视记者倪晶依 金珠 蒋晓平 郑波 王冰冰 丁旭 苏安阳 陈杨 高珧） O央视新闻的微博直播 .                                            ",4715,50571,693296,,,没有人比我衣服还多的品如,现在一颗白菜35，口罩买不到，不知道所谓投放的物资哪去了，快管管武汉物价吧，菜都吃不起了,1月23日 12:40,765,老龄少女Penny,"
            老龄少女Penny：希望那些放马后炮阴阳怪气说话的人看到！！不过他们看到也会当没看到的！！        ",1月23日 10:40
https://www.weibo.com/2656274875/IqMSi6ruL?type=comment,央视新闻, 1月23日 10:33,微博网页版,"
                                                                                                                        【直播！#肺炎疫情下的春运#】春运高峰，央视新闻在武汉、天津、长沙等多地火车站、机场直击肺炎疫情下的春运。在交通枢纽人流密集的地方应如何做好疫情防控？踏上归乡旅途的人们出行情况如何？直击肺炎疫情下的全国春运！（总台央视记者倪晶依 金珠 蒋晓平 郑波 王冰冰 丁旭 苏安阳 陈杨 高珧） O央视新闻的微博直播 .                                            ",4715,50571,693296,,,老龄少女Penny,希望那些放马后炮阴阳怪气说话的人看到！！不过他们看到也会当没看到的！！,1月23日 10:40,509,ZHONG-GUO,"
            ZHONG-GUO：可以指责武汉政府前期处理不到位，也可以骂那些病毒期间还乱跑的人，但请对那些不确定自己是否安全而不出市的人，对那些现在还在武汉市内的人温柔一点他们也没吃野味，他们也没乱跑，他们也无辜，很多人可能和我一样，哪怕在武汉周边也从来没想过回家        ",1月23日 13:39
https://www.weibo.com/2656274875/IqMSi6ruL?type=comment,央视新闻, 1月23日 10:33,微博网页版,"
                                                                                                                        【直播！#肺炎疫情下的春运#】春运高峰，央视新闻在武汉、天津、长沙等多地火车站、机场直击肺炎疫情下的春运。在交通枢纽人流密集的地方应如何做好疫情防控？踏上归乡旅途的人们出行情况如何？直击肺炎疫情下的全国春运！（总台央视记者倪晶依 金珠 蒋晓平 郑波 王冰冰 丁旭 苏安阳 陈杨 高珧） O央视新闻的微博直播 .                                            ",4715,50571,693296,,,ZHONG-GUO,可以指责武汉政府前期处理不到位，也可以骂那些病毒期间还乱跑的人，但请对那些不确定自己是否安全而不出市的人，对那些现在还在武汉市内的人温柔一点他们也没吃野味，他们也没乱跑，他们也无辜，很多人可能和我一样，哪怕在武汉周边也从来没想过回家,1月23日 13:39,558,才不做胆小鬼,"
            才不做胆小鬼：借楼 大家关注一下荆门伤医事件 真的寒心        ",1月23日 10:52
https://www.weibo.com/2656274875/IqMSi6ruL?type=comment,央视新闻, 1月23日 10:33,微博网页版,"
                                                                                                                        【直播！#肺炎疫情下的春运#】春运高峰，央视新闻在武汉、天津、长沙等多地火车站、机场直击肺炎疫情下的春运。在交通枢纽人流密集的地方应如何做好疫情防控？踏上归乡旅途的人们出行情况如何？直击肺炎疫情下的全国春运！（总台央视记者倪晶依 金珠 蒋晓平 郑波 王冰冰 丁旭 苏安阳 陈杨 高珧） O央视新闻的微博直播 .                                            ",4715,50571,693296,,,才不做胆小鬼,借楼大家关注一下荆门伤医事件真的寒心,1月23日 10:52,452,冷凝残月,"
            冷凝残月：关闭武汉这种超大型省会城市的对外通道，这是新中国历史上的头一遭，武汉还是九省通衢，华中地区最大的交通枢纽，因此做出这个决定无疑又是艰难的。可想而知，迈出这一步需要多么大的勇气和理性加以推动、支持！这是千万级别的城市，现在封城，说明早就准备了很长时间！        ",1月23日 13:06
https://www.weibo.com/2656274875/IqMSi6ruL?type=comment,央视新闻, 1月23日 10:33,微博网页版,"
                                                                                                                        【直播！#肺炎疫情下的春运#】春运高峰，央视新闻在武汉、天津、长沙等多地火车站、机场直击肺炎疫情下的春运。在交通枢纽人流密集的地方应如何做好疫情防控？踏上归乡旅途的人们出行情况如何？直击肺炎疫情下的全国春运！（总台央视记者倪晶依 金珠 蒋晓平 郑波 王冰冰 丁旭 苏安阳 陈杨 高珧） O央视新闻的微博直播 .                                            ",4715,50571,693296,,,冷凝残月,关闭武汉这种超大型省会城市的对外通道，这是新中国历史上的头一遭，武汉还是九省通衢，华中地区最大的交通枢纽，因此做出这个决定无疑又是艰难的。可想而知，迈出这一步需要多么大的勇气和理性加以推动、支持！这是千万级别的城市，现在封城，说明早就准备了很长时间！,1月23日 13:06,406,抹茶201501,"
            抹茶201501：情况真的比报道的严重！ 全家都在武汉汉口，姐姐才26岁，发热去医院，但是没有留院，只有病危才可以住院，打了三天针，幸好退烧了          ",1月23日 12:45
