博文网址,发帖子人,博文发布时间,来自,博文内容,转发数,评论数,点赞数,博文图片,博文视频,评论者,评论内容,评论时间,评论点赞,二级评论人,二级评论内容,二级评论时间
https://www.weibo.com/1649173367/Irfbkn0xk?type=comment#_rnd1583910632594,每日经济新闻, 1月26日 10:37,微博 weibo.com,"
                                                                                                                        【#大年初一全国票房仅181万#，去年同期超14亿】根据猫眼专业版数据显示，2020年1月25日大年初一，全国电影票房收获181万元。而去年大年初一的票房则有超过14亿元，曾创造内地影史最高单日票房纪录。目前，影院排片仍以2019年年底上映的《叶问4》《误杀》《宠爱》为主，三部电影大年初一分别收获票房51.97万元、47.07万元、30.63万元。值得注意的是，原计划春节档上映的电影《囧妈》、《唐人街探案3》、《夺冠》等多部影片宣布撤档。其中《囧妈》与字节跳动达成合作，这部影片于大年初一在字节跳动旗下APP播出，这是历史上第一次春节档电影在线首播。O大年初一全国票房仅收181万 去年同期为14.85亿                                            ",2815,17361,868639,"http://wx4.sinaimg.cn/mw690/624c6377ly1gb9rhmp27gj21900u07fq.jpg
http://wx2.sinaimg.cn/mw690/624c6377ly1gb9s2in0u1j20u00crq5m.jpg
http://wx4.sinaimg.cn/thumb150/624c6377ly1gb9rhmp27gj21900u07fq.jpg
http://wx2.sinaimg.cn/thumb150/624c6377ly1gb9s2in0u1j20u00crq5m.jpg",,_卑微小宋,还能有181万头铁,1月26日 10:39,193756,,,
https://www.weibo.com/1649173367/Irfbkn0xk?type=comment#_rnd1583910632594,每日经济新闻, 1月26日 10:37,微博 weibo.com,"
                                                                                                                        【#大年初一全国票房仅181万#，去年同期超14亿】根据猫眼专业版数据显示，2020年1月25日大年初一，全国电影票房收获181万元。而去年大年初一的票房则有超过14亿元，曾创造内地影史最高单日票房纪录。目前，影院排片仍以2019年年底上映的《叶问4》《误杀》《宠爱》为主，三部电影大年初一分别收获票房51.97万元、47.07万元、30.63万元。值得注意的是，原计划春节档上映的电影《囧妈》、《唐人街探案3》、《夺冠》等多部影片宣布撤档。其中《囧妈》与字节跳动达成合作，这部影片于大年初一在字节跳动旗下APP播出，这是历史上第一次春节档电影在线首播。O大年初一全国票房仅收181万 去年同期为14.85亿                                            ",2815,17361,868639,"http://wx4.sinaimg.cn/mw690/624c6377ly1gb9rhmp27gj21900u07fq.jpg
http://wx2.sinaimg.cn/mw690/624c6377ly1gb9s2in0u1j20u00crq5m.jpg
http://wx4.sinaimg.cn/thumb150/624c6377ly1gb9rhmp27gj21900u07fq.jpg
http://wx2.sinaimg.cn/thumb150/624c6377ly1gb9s2in0u1j20u00crq5m.jpg",,WhoisYO,观众181万的冒险程度超过去年同期15亿。,1月26日 10:39,157427,,,
https://www.weibo.com/1649173367/Irfbkn0xk?type=comment#_rnd1583910632594,每日经济新闻, 1月26日 10:37,微博 weibo.com,"
                                                                                                                        【#大年初一全国票房仅181万#，去年同期超14亿】根据猫眼专业版数据显示，2020年1月25日大年初一，全国电影票房收获181万元。而去年大年初一的票房则有超过14亿元，曾创造内地影史最高单日票房纪录。目前，影院排片仍以2019年年底上映的《叶问4》《误杀》《宠爱》为主，三部电影大年初一分别收获票房51.97万元、47.07万元、30.63万元。值得注意的是，原计划春节档上映的电影《囧妈》、《唐人街探案3》、《夺冠》等多部影片宣布撤档。其中《囧妈》与字节跳动达成合作，这部影片于大年初一在字节跳动旗下APP播出，这是历史上第一次春节档电影在线首播。O大年初一全国票房仅收181万 去年同期为14.85亿                                            ",2815,17361,868639,"http://wx4.sinaimg.cn/mw690/624c6377ly1gb9rhmp27gj21900u07fq.jpg
http://wx2.sinaimg.cn/mw690/624c6377ly1gb9s2in0u1j20u00crq5m.jpg
http://wx4.sinaimg.cn/thumb150/624c6377ly1gb9rhmp27gj21900u07fq.jpg
http://wx2.sinaimg.cn/thumb150/624c6377ly1gb9s2in0u1j20u00crq5m.jpg",,-梦三旬-,还有人出去看电影，猛士,1月26日 10:39,129648,,,
https://www.weibo.com/1649173367/Irfbkn0xk?type=comment#_rnd1583910632594,每日经济新闻, 1月26日 10:37,微博 weibo.com,"
                                                                                                                        【#大年初一全国票房仅181万#，去年同期超14亿】根据猫眼专业版数据显示，2020年1月25日大年初一，全国电影票房收获181万元。而去年大年初一的票房则有超过14亿元，曾创造内地影史最高单日票房纪录。目前，影院排片仍以2019年年底上映的《叶问4》《误杀》《宠爱》为主，三部电影大年初一分别收获票房51.97万元、47.07万元、30.63万元。值得注意的是，原计划春节档上映的电影《囧妈》、《唐人街探案3》、《夺冠》等多部影片宣布撤档。其中《囧妈》与字节跳动达成合作，这部影片于大年初一在字节跳动旗下APP播出，这是历史上第一次春节档电影在线首播。O大年初一全国票房仅收181万 去年同期为14.85亿                                            ",2815,17361,868639,"http://wx4.sinaimg.cn/mw690/624c6377ly1gb9rhmp27gj21900u07fq.jpg
http://wx2.sinaimg.cn/mw690/624c6377ly1gb9s2in0u1j20u00crq5m.jpg
http://wx4.sinaimg.cn/thumb150/624c6377ly1gb9rhmp27gj21900u07fq.jpg
http://wx2.sinaimg.cn/thumb150/624c6377ly1gb9s2in0u1j20u00crq5m.jpg",,秦淮河边一小草,在西藏看的？我们这电影院都关了,1月26日 10:45,97478,,,
https://www.weibo.com/1649173367/Irfbkn0xk?type=comment#_rnd1583910632594,每日经济新闻, 1月26日 10:37,微博 weibo.com,"
                                                                                                                        【#大年初一全国票房仅181万#，去年同期超14亿】根据猫眼专业版数据显示，2020年1月25日大年初一，全国电影票房收获181万元。而去年大年初一的票房则有超过14亿元，曾创造内地影史最高单日票房纪录。目前，影院排片仍以2019年年底上映的《叶问4》《误杀》《宠爱》为主，三部电影大年初一分别收获票房51.97万元、47.07万元、30.63万元。值得注意的是，原计划春节档上映的电影《囧妈》、《唐人街探案3》、《夺冠》等多部影片宣布撤档。其中《囧妈》与字节跳动达成合作，这部影片于大年初一在字节跳动旗下APP播出，这是历史上第一次春节档电影在线首播。O大年初一全国票房仅收181万 去年同期为14.85亿                                            ",2815,17361,868639,"http://wx4.sinaimg.cn/mw690/624c6377ly1gb9rhmp27gj21900u07fq.jpg
http://wx2.sinaimg.cn/mw690/624c6377ly1gb9s2in0u1j20u00crq5m.jpg
http://wx4.sinaimg.cn/thumb150/624c6377ly1gb9rhmp27gj21900u07fq.jpg
http://wx2.sinaimg.cn/thumb150/624c6377ly1gb9s2in0u1j20u00crq5m.jpg",,放学后留下,还出门呢？,1月26日 10:39,34763,,,
https://www.weibo.com/1649173367/Irfbkn0xk?type=comment#_rnd1583910632594,每日经济新闻, 1月26日 10:37,微博 weibo.com,"
                                                                                                                        【#大年初一全国票房仅181万#，去年同期超14亿】根据猫眼专业版数据显示，2020年1月25日大年初一，全国电影票房收获181万元。而去年大年初一的票房则有超过14亿元，曾创造内地影史最高单日票房纪录。目前，影院排片仍以2019年年底上映的《叶问4》《误杀》《宠爱》为主，三部电影大年初一分别收获票房51.97万元、47.07万元、30.63万元。值得注意的是，原计划春节档上映的电影《囧妈》、《唐人街探案3》、《夺冠》等多部影片宣布撤档。其中《囧妈》与字节跳动达成合作，这部影片于大年初一在字节跳动旗下APP播出，这是历史上第一次春节档电影在线首播。O大年初一全国票房仅收181万 去年同期为14.85亿                                            ",2815,17361,868639,"http://wx4.sinaimg.cn/mw690/624c6377ly1gb9rhmp27gj21900u07fq.jpg
http://wx2.sinaimg.cn/mw690/624c6377ly1gb9s2in0u1j20u00crq5m.jpg
http://wx4.sinaimg.cn/thumb150/624c6377ly1gb9rhmp27gj21900u07fq.jpg
http://wx2.sinaimg.cn/thumb150/624c6377ly1gb9s2in0u1j20u00crq5m.jpg",,理笔币,然而不见得有人到场,1月26日 10:38,32915,,,
https://www.weibo.com/1649173367/Irfbkn0xk?type=comment#_rnd1583910632594,每日经济新闻, 1月26日 10:37,微博 weibo.com,"
                                                                                                                        【#大年初一全国票房仅181万#，去年同期超14亿】根据猫眼专业版数据显示，2020年1月25日大年初一，全国电影票房收获181万元。而去年大年初一的票房则有超过14亿元，曾创造内地影史最高单日票房纪录。目前，影院排片仍以2019年年底上映的《叶问4》《误杀》《宠爱》为主，三部电影大年初一分别收获票房51.97万元、47.07万元、30.63万元。值得注意的是，原计划春节档上映的电影《囧妈》、《唐人街探案3》、《夺冠》等多部影片宣布撤档。其中《囧妈》与字节跳动达成合作，这部影片于大年初一在字节跳动旗下APP播出，这是历史上第一次春节档电影在线首播。O大年初一全国票房仅收181万 去年同期为14.85亿                                            ",2815,17361,868639,"http://wx4.sinaimg.cn/mw690/624c6377ly1gb9rhmp27gj21900u07fq.jpg
http://wx2.sinaimg.cn/mw690/624c6377ly1gb9s2in0u1j20u00crq5m.jpg
http://wx4.sinaimg.cn/thumb150/624c6377ly1gb9rhmp27gj21900u07fq.jpg
http://wx2.sinaimg.cn/thumb150/624c6377ly1gb9s2in0u1j20u00crq5m.jpg",,痛苦的基佬德,你怎么还用“仅”这个字呢？你还挺失望这票房？,1月26日 11:05,30291,,,
https://www.weibo.com/1649173367/Irfbkn0xk?type=comment#_rnd1583910632594,每日经济新闻, 1月26日 10:37,微博 weibo.com,"
                                                                                                                        【#大年初一全国票房仅181万#，去年同期超14亿】根据猫眼专业版数据显示，2020年1月25日大年初一，全国电影票房收获181万元。而去年大年初一的票房则有超过14亿元，曾创造内地影史最高单日票房纪录。目前，影院排片仍以2019年年底上映的《叶问4》《误杀》《宠爱》为主，三部电影大年初一分别收获票房51.97万元、47.07万元、30.63万元。值得注意的是，原计划春节档上映的电影《囧妈》、《唐人街探案3》、《夺冠》等多部影片宣布撤档。其中《囧妈》与字节跳动达成合作，这部影片于大年初一在字节跳动旗下APP播出，这是历史上第一次春节档电影在线首播。O大年初一全国票房仅收181万 去年同期为14.85亿                                            ",2815,17361,868639,"http://wx4.sinaimg.cn/mw690/624c6377ly1gb9rhmp27gj21900u07fq.jpg
http://wx2.sinaimg.cn/mw690/624c6377ly1gb9s2in0u1j20u00crq5m.jpg
http://wx4.sinaimg.cn/thumb150/624c6377ly1gb9rhmp27gj21900u07fq.jpg
http://wx2.sinaimg.cn/thumb150/624c6377ly1gb9s2in0u1j20u00crq5m.jpg",,飞鸿雪泥X,房价要是有一天也能降成这样就好了,1月26日 10:41,28018,,,
https://www.weibo.com/1649173367/Irfbkn0xk?type=comment#_rnd1583910632594,每日经济新闻, 1月26日 10:37,微博 weibo.com,"
                                                                                                                        【#大年初一全国票房仅181万#，去年同期超14亿】根据猫眼专业版数据显示，2020年1月25日大年初一，全国电影票房收获181万元。而去年大年初一的票房则有超过14亿元，曾创造内地影史最高单日票房纪录。目前，影院排片仍以2019年年底上映的《叶问4》《误杀》《宠爱》为主，三部电影大年初一分别收获票房51.97万元、47.07万元、30.63万元。值得注意的是，原计划春节档上映的电影《囧妈》、《唐人街探案3》、《夺冠》等多部影片宣布撤档。其中《囧妈》与字节跳动达成合作，这部影片于大年初一在字节跳动旗下APP播出，这是历史上第一次春节档电影在线首播。O大年初一全国票房仅收181万 去年同期为14.85亿                                            ",2815,17361,868639,"http://wx4.sinaimg.cn/mw690/624c6377ly1gb9rhmp27gj21900u07fq.jpg
http://wx2.sinaimg.cn/mw690/624c6377ly1gb9s2in0u1j20u00crq5m.jpg
http://wx4.sinaimg.cn/thumb150/624c6377ly1gb9rhmp27gj21900u07fq.jpg
http://wx2.sinaimg.cn/thumb150/624c6377ly1gb9s2in0u1j20u00crq5m.jpg",,芋泥椰奶冻·,竟然还有181万？？？应该有的是购买了没去吧，总不可能这么多勇士,1月26日 11:30,24984,,,
https://www.weibo.com/1649173367/Irfbkn0xk?type=comment#_rnd1583910632594,每日经济新闻, 1月26日 10:37,微博 weibo.com,"
                                                                                                                        【#大年初一全国票房仅181万#，去年同期超14亿】根据猫眼专业版数据显示，2020年1月25日大年初一，全国电影票房收获181万元。而去年大年初一的票房则有超过14亿元，曾创造内地影史最高单日票房纪录。目前，影院排片仍以2019年年底上映的《叶问4》《误杀》《宠爱》为主，三部电影大年初一分别收获票房51.97万元、47.07万元、30.63万元。值得注意的是，原计划春节档上映的电影《囧妈》、《唐人街探案3》、《夺冠》等多部影片宣布撤档。其中《囧妈》与字节跳动达成合作，这部影片于大年初一在字节跳动旗下APP播出，这是历史上第一次春节档电影在线首播。O大年初一全国票房仅收181万 去年同期为14.85亿                                            ",2815,17361,868639,"http://wx4.sinaimg.cn/mw690/624c6377ly1gb9rhmp27gj21900u07fq.jpg
http://wx2.sinaimg.cn/mw690/624c6377ly1gb9s2in0u1j20u00crq5m.jpg
http://wx4.sinaimg.cn/thumb150/624c6377ly1gb9rhmp27gj21900u07fq.jpg
http://wx2.sinaimg.cn/thumb150/624c6377ly1gb9s2in0u1j20u00crq5m.jpg",,BIA丝哥,我们这儿电影院都关了诶，会不会是买了票没去看的,1月26日 10:51,13983,,,
