博文网址,发帖子人,博文发布时间,来自,博文内容,转发数,评论数,点赞数,博文图片,博文视频,评论者,评论内容,评论时间,评论点赞,二级评论人,二级评论内容,二级评论时间
https://www.weibo.com/2656274875/Ir5o928TG?type=comment#_rnd1583908866505,央视新闻, 1月25日 09:41,微博 weibo.com,"
                                                                                                                        【#新加坡抵杭州一架航班所有乘客隔离# 有武汉客人 2名发烧人员送至医院】昨夜22时许，TR188次航班从新加坡到达萧山机场。机上335名乘客中有武汉客人116名。由于事先掌握信息，浙江与机场联动进行了严格管控。飞机着陆后，2名发烧人员即送至萧山区第一人民医院，其余武汉乘客在机场宾馆就地隔离，219名其他乘客在市委党校集中医学观察。（总台央视记者杨军威）                                            ",24811,78328,1542188,http://wx2.sinaimg.cn/mw690/9e5389bbly1gb8k8xfsl4j20p00p04b2.jpg,,YoYo1141,能不乱跑了吗？！！！,1月25日 09:41,180522,,,
https://www.weibo.com/2656274875/Ir5o928TG?type=comment#_rnd1583908866505,央视新闻, 1月25日 09:41,微博 weibo.com,"
                                                                                                                        【#新加坡抵杭州一架航班所有乘客隔离# 有武汉客人 2名发烧人员送至医院】昨夜22时许，TR188次航班从新加坡到达萧山机场。机上335名乘客中有武汉客人116名。由于事先掌握信息，浙江与机场联动进行了严格管控。飞机着陆后，2名发烧人员即送至萧山区第一人民医院，其余武汉乘客在机场宾馆就地隔离，219名其他乘客在市委党校集中医学观察。（总台央视记者杨军威）                                            ",24811,78328,1542188,http://wx2.sinaimg.cn/mw690/9e5389bbly1gb8k8xfsl4j20p00p04b2.jpg,,YoYo1141,能不乱跑了吗？！！！,1月25日 09:41,180522,一个程蝶衣,"
            一个程蝶衣：这还不是乱跑？？？人家被塞在一起的浙江人才惨吧        ",1月25日 09:46
https://www.weibo.com/2656274875/Ir5o928TG?type=comment#_rnd1583908866505,央视新闻, 1月25日 09:41,微博 weibo.com,"
                                                                                                                        【#新加坡抵杭州一架航班所有乘客隔离# 有武汉客人 2名发烧人员送至医院】昨夜22时许，TR188次航班从新加坡到达萧山机场。机上335名乘客中有武汉客人116名。由于事先掌握信息，浙江与机场联动进行了严格管控。飞机着陆后，2名发烧人员即送至萧山区第一人民医院，其余武汉乘客在机场宾馆就地隔离，219名其他乘客在市委党校集中医学观察。（总台央视记者杨军威）                                            ",24811,78328,1542188,http://wx2.sinaimg.cn/mw690/9e5389bbly1gb8k8xfsl4j20p00p04b2.jpg,,一个程蝶衣,这还不是乱跑？？？人家被塞在一起的浙江人才惨吧,1月25日 09:46,76455,重度健忘症的肉包子,"
            重度健忘症的肉包子：这个如果确诊是冠状，是不是可以判刑了，一飞机人遭殃        ",1月25日 09:45
https://www.weibo.com/2656274875/Ir5o928TG?type=comment#_rnd1583908866505,央视新闻, 1月25日 09:41,微博 weibo.com,"
                                                                                                                        【#新加坡抵杭州一架航班所有乘客隔离# 有武汉客人 2名发烧人员送至医院】昨夜22时许，TR188次航班从新加坡到达萧山机场。机上335名乘客中有武汉客人116名。由于事先掌握信息，浙江与机场联动进行了严格管控。飞机着陆后，2名发烧人员即送至萧山区第一人民医院，其余武汉乘客在机场宾馆就地隔离，219名其他乘客在市委党校集中医学观察。（总台央视记者杨军威）                                            ",24811,78328,1542188,http://wx2.sinaimg.cn/mw690/9e5389bbly1gb8k8xfsl4j20p00p04b2.jpg,,重度健忘症的肉包子,这个如果确诊是冠状，是不是可以判刑了，一飞机人遭殃,1月25日 09:45,58333,月亮暂不营业,"
            月亮暂不营业：浙江也太惨了吧 飞机上浙江人也太惨了吧        ",1月25日 09:50
https://www.weibo.com/2656274875/Ir5o928TG?type=comment#_rnd1583908866505,央视新闻, 1月25日 09:41,微博 weibo.com,"
                                                                                                                        【#新加坡抵杭州一架航班所有乘客隔离# 有武汉客人 2名发烧人员送至医院】昨夜22时许，TR188次航班从新加坡到达萧山机场。机上335名乘客中有武汉客人116名。由于事先掌握信息，浙江与机场联动进行了严格管控。飞机着陆后，2名发烧人员即送至萧山区第一人民医院，其余武汉乘客在机场宾馆就地隔离，219名其他乘客在市委党校集中医学观察。（总台央视记者杨军威）                                            ",24811,78328,1542188,http://wx2.sinaimg.cn/mw690/9e5389bbly1gb8k8xfsl4j20p00p04b2.jpg,,月亮暂不营业,浙江也太惨了吧飞机上浙江人也太惨了吧,1月25日 09:50,41263,彭格列十代目保护组织,"
            彭格列十代目保护组织：杭州人做错了什么        ",1月25日 09:45
https://www.weibo.com/2656274875/Ir5o928TG?type=comment#_rnd1583908866505,央视新闻, 1月25日 09:41,微博 weibo.com,"
                                                                                                                        【#新加坡抵杭州一架航班所有乘客隔离# 有武汉客人 2名发烧人员送至医院】昨夜22时许，TR188次航班从新加坡到达萧山机场。机上335名乘客中有武汉客人116名。由于事先掌握信息，浙江与机场联动进行了严格管控。飞机着陆后，2名发烧人员即送至萧山区第一人民医院，其余武汉乘客在机场宾馆就地隔离，219名其他乘客在市委党校集中医学观察。（总台央视记者杨军威）                                            ",24811,78328,1542188,http://wx2.sinaimg.cn/mw690/9e5389bbly1gb8k8xfsl4j20p00p04b2.jpg,,彭格列十代目保护组织,杭州人做错了什么,1月25日 09:45,26450,下一站茶花刘,"
            下一站茶花刘：为什么凌晨发消息说封城，而10点才开始？？？？？   但是这么多人跑出去        ",1月25日 09:46
https://www.weibo.com/2656274875/Ir5o928TG?type=comment#_rnd1583908866505,央视新闻, 1月25日 09:41,微博 weibo.com,"
                                                                                                                        【#新加坡抵杭州一架航班所有乘客隔离# 有武汉客人 2名发烧人员送至医院】昨夜22时许，TR188次航班从新加坡到达萧山机场。机上335名乘客中有武汉客人116名。由于事先掌握信息，浙江与机场联动进行了严格管控。飞机着陆后，2名发烧人员即送至萧山区第一人民医院，其余武汉乘客在机场宾馆就地隔离，219名其他乘客在市委党校集中医学观察。（总台央视记者杨军威）                                            ",24811,78328,1542188,http://wx2.sinaimg.cn/mw690/9e5389bbly1gb8k8xfsl4j20p00p04b2.jpg,,下一站茶花刘,为什么凌晨发消息说封城，而10点才开始？？？？？但是这么多人跑出去,1月25日 09:46,25744,Melody-ZHZ,"
            Melody-ZHZ：说这不是乱跑的人是脑子没转过来吗？明明就是你乱跑失败，飞机上浙江人倒霉了        ",1月25日 09:49
https://www.weibo.com/2656274875/Ir5o928TG?type=comment#_rnd1583908866505,央视新闻, 1月25日 09:41,微博 weibo.com,"
                                                                                                                        【#新加坡抵杭州一架航班所有乘客隔离# 有武汉客人 2名发烧人员送至医院】昨夜22时许，TR188次航班从新加坡到达萧山机场。机上335名乘客中有武汉客人116名。由于事先掌握信息，浙江与机场联动进行了严格管控。飞机着陆后，2名发烧人员即送至萧山区第一人民医院，其余武汉乘客在机场宾馆就地隔离，219名其他乘客在市委党校集中医学观察。（总台央视记者杨军威）                                            ",24811,78328,1542188,http://wx2.sinaimg.cn/mw690/9e5389bbly1gb8k8xfsl4j20p00p04b2.jpg,,Melody-ZHZ,说这不是乱跑的人是脑子没转过来吗？明明就是你乱跑失败，飞机上浙江人倒霉了,1月25日 09:49,15663,面包仙子不恰饭,"
            面包仙子不恰饭：真的 能不能给自己积点德啊？？？？不要再传染世界各地了行吗？？人家都拒收最后遭殃的还是国人！！！！        ",1月25日 09:51
https://www.weibo.com/2656274875/Ir5o928TG?type=comment#_rnd1583908866505,央视新闻, 1月25日 09:41,微博 weibo.com,"
                                                                                                                        【#新加坡抵杭州一架航班所有乘客隔离# 有武汉客人 2名发烧人员送至医院】昨夜22时许，TR188次航班从新加坡到达萧山机场。机上335名乘客中有武汉客人116名。由于事先掌握信息，浙江与机场联动进行了严格管控。飞机着陆后，2名发烧人员即送至萧山区第一人民医院，其余武汉乘客在机场宾馆就地隔离，219名其他乘客在市委党校集中医学观察。（总台央视记者杨军威）                                            ",24811,78328,1542188,http://wx2.sinaimg.cn/mw690/9e5389bbly1gb8k8xfsl4j20p00p04b2.jpg,,面包仙子不恰饭,真的能不能给自己积点德啊？？？？不要再传染世界各地了行吗？？人家都拒收最后遭殃的还是国人！！！！,1月25日 09:51,12285,我好他妈可爱鸭,"
            我好他妈可爱鸭：真的是，迁坟去在地？霍霍一堆人？        ",1月25日 09:42
https://www.weibo.com/2656274875/Ir5o928TG?type=comment#_rnd1583908866505,央视新闻, 1月25日 09:41,微博 weibo.com,"
                                                                                                                        【#新加坡抵杭州一架航班所有乘客隔离# 有武汉客人 2名发烧人员送至医院】昨夜22时许，TR188次航班从新加坡到达萧山机场。机上335名乘客中有武汉客人116名。由于事先掌握信息，浙江与机场联动进行了严格管控。飞机着陆后，2名发烧人员即送至萧山区第一人民医院，其余武汉乘客在机场宾馆就地隔离，219名其他乘客在市委党校集中医学观察。（总台央视记者杨军威）                                            ",24811,78328,1542188,http://wx2.sinaimg.cn/mw690/9e5389bbly1gb8k8xfsl4j20p00p04b2.jpg,,我好他妈可爱鸭,真的是，迁坟去在地？霍霍一堆人？,1月25日 09:42,11240,小黑他叫白衣,"
            小黑他叫白衣：？人家就是去新加坡所以被遣返的怎么不叫乱跑了？        ",1月25日 09:47
