博文网址,发帖子人,博文发布时间,来自,博文内容,转发数,评论数,点赞数,博文图片,博文视频,评论者,评论内容,评论时间,评论点赞,二级评论人,二级评论内容,二级评论时间
https://passport.weibo.com/visitor/visitor?entry=miniblog&a=enter&url=https%3A%2F%2Fweibo.com%2F2803301701%2FIqHYM0Tem&domain=.weibo.com&ua=php-sso_sdk_client-0.6.28&_rand=1583913269.6147,,,,"
                                                                                                                        【#武汉要求全市在公共场合佩戴口罩#】22日，武汉市政府发布通告，#武汉公共场所实施佩戴口罩控制措施#。各公共场所经营者应当要求进入其场所的顾客佩戴口罩后方可进入其经营的公共场所，并在场所入口处设置醒目、清晰的佩戴口罩的提示；对未佩戴口罩进入场所者应当予以劝阻，对不听劝阻的人员，由各相关主管部门按照各自职责依法处理。构成违反治安管理行为的，由公安机关依法予以处罚；构成犯罪的，依法追究刑事责任。（田豆豆）                                            ",10400,23993,855398,http://wx2.sinaimg.cn/mw690/a716fd45ly1gb5ow2pjjyj20rs0ijmxt.jpg,,这条昵称合法,借个地方，举报以下淘宝卖家贩卖野生动物：1.爱美膳旗舰店2.京采泷庆食品专营店3.青稞牧场4.纯野味店5.美人松土特产6.山鲜调旗舰店7.乐昌人家8.聚狼优品9.东昊蓝孔雀养殖基地10.环鄱阳湖绿色生态馆11.淼淼养殖12.小刘珍禽野味13.原味农家14.珍鲜湾旗舰店希望有关部门查验一下，谢谢。,1月22日 22:06,74170,,,
https://passport.weibo.com/visitor/visitor?entry=miniblog&a=enter&url=https%3A%2F%2Fweibo.com%2F2803301701%2FIqHYM0Tem&domain=.weibo.com&ua=php-sso_sdk_client-0.6.28&_rand=1583913269.6147,,,,"
                                                                                                                        【#武汉要求全市在公共场合佩戴口罩#】22日，武汉市政府发布通告，#武汉公共场所实施佩戴口罩控制措施#。各公共场所经营者应当要求进入其场所的顾客佩戴口罩后方可进入其经营的公共场所，并在场所入口处设置醒目、清晰的佩戴口罩的提示；对未佩戴口罩进入场所者应当予以劝阻，对不听劝阻的人员，由各相关主管部门按照各自职责依法处理。构成违反治安管理行为的，由公安机关依法予以处罚；构成犯罪的，依法追究刑事责任。（田豆豆）                                            ",10400,23993,855398,http://wx2.sinaimg.cn/mw690/a716fd45ly1gb5ow2pjjyj20rs0ijmxt.jpg,,__我家没有草原__,问题是现在都没有那么多口罩,1月22日 22:06,44207,,,
https://passport.weibo.com/visitor/visitor?entry=miniblog&a=enter&url=https%3A%2F%2Fweibo.com%2F2803301701%2FIqHYM0Tem&domain=.weibo.com&ua=php-sso_sdk_client-0.6.28&_rand=1583913269.6147,,,,"
                                                                                                                        【#武汉要求全市在公共场合佩戴口罩#】22日，武汉市政府发布通告，#武汉公共场所实施佩戴口罩控制措施#。各公共场所经营者应当要求进入其场所的顾客佩戴口罩后方可进入其经营的公共场所，并在场所入口处设置醒目、清晰的佩戴口罩的提示；对未佩戴口罩进入场所者应当予以劝阻，对不听劝阻的人员，由各相关主管部门按照各自职责依法处理。构成违反治安管理行为的，由公安机关依法予以处罚；构成犯罪的，依法追究刑事责任。（田豆豆）                                            ",10400,23993,855398,http://wx2.sinaimg.cn/mw690/a716fd45ly1gb5ow2pjjyj20rs0ijmxt.jpg,,深海繁星Renate,全国都要如此不止武汉,1月22日 22:06,39472,,,
https://passport.weibo.com/visitor/visitor?entry=miniblog&a=enter&url=https%3A%2F%2Fweibo.com%2F2803301701%2FIqHYM0Tem&domain=.weibo.com&ua=php-sso_sdk_client-0.6.28&_rand=1583913269.6147,,,,"
                                                                                                                        【#武汉要求全市在公共场合佩戴口罩#】22日，武汉市政府发布通告，#武汉公共场所实施佩戴口罩控制措施#。各公共场所经营者应当要求进入其场所的顾客佩戴口罩后方可进入其经营的公共场所，并在场所入口处设置醒目、清晰的佩戴口罩的提示；对未佩戴口罩进入场所者应当予以劝阻，对不听劝阻的人员，由各相关主管部门按照各自职责依法处理。构成违反治安管理行为的，由公安机关依法予以处罚；构成犯罪的，依法追究刑事责任。（田豆豆）                                            ",10400,23993,855398,http://wx2.sinaimg.cn/mw690/a716fd45ly1gb5ow2pjjyj20rs0ijmxt.jpg,,Kjlhooo,不仅武汉全国都要出门戴口罩！,1月22日 22:06,29085,,,
https://passport.weibo.com/visitor/visitor?entry=miniblog&a=enter&url=https%3A%2F%2Fweibo.com%2F2803301701%2FIqHYM0Tem&domain=.weibo.com&ua=php-sso_sdk_client-0.6.28&_rand=1583913269.6147,,,,"
                                                                                                                        【#武汉要求全市在公共场合佩戴口罩#】22日，武汉市政府发布通告，#武汉公共场所实施佩戴口罩控制措施#。各公共场所经营者应当要求进入其场所的顾客佩戴口罩后方可进入其经营的公共场所，并在场所入口处设置醒目、清晰的佩戴口罩的提示；对未佩戴口罩进入场所者应当予以劝阻，对不听劝阻的人员，由各相关主管部门按照各自职责依法处理。构成违反治安管理行为的，由公安机关依法予以处罚；构成犯罪的，依法追究刑事责任。（田豆豆）                                            ",10400,23993,855398,http://wx2.sinaimg.cn/mw690/a716fd45ly1gb5ow2pjjyj20rs0ijmxt.jpg,,鹿晗关晓彤多久能分手,速度快的恐怖，面对疫情不需要粉饰太平也不需要制造恐慌，我们能做的就是保护好自己，对自己对家人朋友负责，不给国家添麻烦,1月22日 22:06,19791,,,
https://passport.weibo.com/visitor/visitor?entry=miniblog&a=enter&url=https%3A%2F%2Fweibo.com%2F2803301701%2FIqHYM0Tem&domain=.weibo.com&ua=php-sso_sdk_client-0.6.28&_rand=1583913269.6147,,,,"
                                                                                                                        【#武汉要求全市在公共场合佩戴口罩#】22日，武汉市政府发布通告，#武汉公共场所实施佩戴口罩控制措施#。各公共场所经营者应当要求进入其场所的顾客佩戴口罩后方可进入其经营的公共场所，并在场所入口处设置醒目、清晰的佩戴口罩的提示；对未佩戴口罩进入场所者应当予以劝阻，对不听劝阻的人员，由各相关主管部门按照各自职责依法处理。构成违反治安管理行为的，由公安机关依法予以处罚；构成犯罪的，依法追究刑事责任。（田豆豆）                                            ",10400,23993,855398,http://wx2.sinaimg.cn/mw690/a716fd45ly1gb5ow2pjjyj20rs0ijmxt.jpg,,寻味长春,请加大宣传力度，🙏身边有些人还是不信，非说是卖口罩的炒作！谢谢！相信国家,1月22日 22:06,7414,,,
https://passport.weibo.com/visitor/visitor?entry=miniblog&a=enter&url=https%3A%2F%2Fweibo.com%2F2803301701%2FIqHYM0Tem&domain=.weibo.com&ua=php-sso_sdk_client-0.6.28&_rand=1583913269.6147,,,,"
                                                                                                                        【#武汉要求全市在公共场合佩戴口罩#】22日，武汉市政府发布通告，#武汉公共场所实施佩戴口罩控制措施#。各公共场所经营者应当要求进入其场所的顾客佩戴口罩后方可进入其经营的公共场所，并在场所入口处设置醒目、清晰的佩戴口罩的提示；对未佩戴口罩进入场所者应当予以劝阻，对不听劝阻的人员，由各相关主管部门按照各自职责依法处理。构成违反治安管理行为的，由公安机关依法予以处罚；构成犯罪的，依法追究刑事责任。（田豆豆）                                            ",10400,23993,855398,http://wx2.sinaimg.cn/mw690/a716fd45ly1gb5ow2pjjyj20rs0ijmxt.jpg,,Ecmine-,大家多给中老年人宣传一下，现在好多中老年都不相信疫情的严重性！很多人都不知道情况，跟他们普及也听不进去，觉得小题大做，电视多做普及吧，特别是三大运营商短信通知起码引起重视，又逢春运，人流密集，再不重视，不提前预防，更是让人担忧,1月22日 22:06,7627,,,
https://passport.weibo.com/visitor/visitor?entry=miniblog&a=enter&url=https%3A%2F%2Fweibo.com%2F2803301701%2FIqHYM0Tem&domain=.weibo.com&ua=php-sso_sdk_client-0.6.28&_rand=1583913269.6147,,,,"
                                                                                                                        【#武汉要求全市在公共场合佩戴口罩#】22日，武汉市政府发布通告，#武汉公共场所实施佩戴口罩控制措施#。各公共场所经营者应当要求进入其场所的顾客佩戴口罩后方可进入其经营的公共场所，并在场所入口处设置醒目、清晰的佩戴口罩的提示；对未佩戴口罩进入场所者应当予以劝阻，对不听劝阻的人员，由各相关主管部门按照各自职责依法处理。构成违反治安管理行为的，由公安机关依法予以处罚；构成犯罪的，依法追究刑事责任。（田豆豆）                                            ",10400,23993,855398,http://wx2.sinaimg.cn/mw690/a716fd45ly1gb5ow2pjjyj20rs0ijmxt.jpg,,青橘子平安喜乐万事胜意,我爸妈：我们这又不是武汉，你看大街上谁戴口罩了？就你一天天神经兮兮的，都是卖口罩的炒作。,1月22日 22:11,6737,,,
https://passport.weibo.com/visitor/visitor?entry=miniblog&a=enter&url=https%3A%2F%2Fweibo.com%2F2803301701%2FIqHYM0Tem&domain=.weibo.com&ua=php-sso_sdk_client-0.6.28&_rand=1583913269.6147,,,,"
                                                                                                                        【#武汉要求全市在公共场合佩戴口罩#】22日，武汉市政府发布通告，#武汉公共场所实施佩戴口罩控制措施#。各公共场所经营者应当要求进入其场所的顾客佩戴口罩后方可进入其经营的公共场所，并在场所入口处设置醒目、清晰的佩戴口罩的提示；对未佩戴口罩进入场所者应当予以劝阻，对不听劝阻的人员，由各相关主管部门按照各自职责依法处理。构成违反治安管理行为的，由公安机关依法予以处罚；构成犯罪的，依法追究刑事责任。（田豆豆）                                            ",10400,23993,855398,http://wx2.sinaimg.cn/mw690/a716fd45ly1gb5ow2pjjyj20rs0ijmxt.jpg,,发声不同憨批就会怼你,这样最好了，保护好自己也是为了别人,1月22日 22:06,5870,,,
https://passport.weibo.com/visitor/visitor?entry=miniblog&a=enter&url=https%3A%2F%2Fweibo.com%2F2803301701%2FIqHYM0Tem&domain=.weibo.com&ua=php-sso_sdk_client-0.6.28&_rand=1583913269.6147,,,,"
                                                                                                                        【#武汉要求全市在公共场合佩戴口罩#】22日，武汉市政府发布通告，#武汉公共场所实施佩戴口罩控制措施#。各公共场所经营者应当要求进入其场所的顾客佩戴口罩后方可进入其经营的公共场所，并在场所入口处设置醒目、清晰的佩戴口罩的提示；对未佩戴口罩进入场所者应当予以劝阻，对不听劝阻的人员，由各相关主管部门按照各自职责依法处理。构成违反治安管理行为的，由公安机关依法予以处罚；构成犯罪的，依法追究刑事责任。（田豆豆）                                            ",10400,23993,855398,http://wx2.sinaimg.cn/mw690/a716fd45ly1gb5ow2pjjyj20rs0ijmxt.jpg,,尼奇窝窝,今天，钟南山院士佩带党徽出现在疫情最为严重的武汉医疗一线，这个动人的场景真的让我眼含热泪。84岁的人了，又正值春节来临，他置自己的安危于不顾，一心为了战胜疫情，这就是一个老党员的崇高品质。向敬爱的钟院士致敬，向全国的医护工作者致敬，祝你们过年好！,1月22日 22:07,6333,,,
