博文网址,发帖子人,博文发布时间,来自,博文内容,转发数,评论数,点赞数,博文图片,博文视频,评论者,评论内容,评论时间,评论点赞,二级评论人,二级评论内容,二级评论时间
https://www.weibo.com/1436966900/Irk2pepSC?type=comment#_rnd1584022085961,april颦, 1月26日 22:59,April's iPhone客户端,"
                                                                                                                        #500万人离开武汉#再发一遍：请原谅那些在不知情的情况下离开武汉的武汉人，谢谢大家了。 2武汉 ​​​​                                            ",27398,29416,341374,"http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw137b5j20yi1pce82.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw2t4fqj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw4n8obj20yi1pckjm.jpg
http://wx4.sinaimg.cn/mw690/55a65ff4gy1gbacw611gyj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacvzjthdj20yi1pchdu.jpg
http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw7ee0aj20yi1pcb2a.jpg
http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw137b5j20yi1pce82.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw2t4fqj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw4n8obj20yi1pckjm.jpg
http://wx4.sinaimg.cn/mw690/55a65ff4gy1gbacw611gyj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacvzjthdj20yi1pchdu.jpg
http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw7ee0aj20yi1pcb2a.jpg",,葉獼,然而来云南感染的武汉人基本都是是20号之后来的，那时候肺炎有关信息已经发布并强调无特殊原因不要出去，好几例明知自己发热咳嗽仍然坚持游玩云南各大景点，继续乘坐公共交通工具，不戴口罩……原谅我从理智和情感上都不能原谅这种人。,1月26日 23:16,25434,april颦,"
            april颦：这种人本身也不值得原谅！        ",1月26日 23:17
https://www.weibo.com/1436966900/Irk2pepSC?type=comment#_rnd1584022085961,april颦, 1月26日 22:59,April's iPhone客户端,"
                                                                                                                        #500万人离开武汉#再发一遍：请原谅那些在不知情的情况下离开武汉的武汉人，谢谢大家了。 2武汉 ​​​​                                            ",27398,29416,341374,"http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw137b5j20yi1pce82.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw2t4fqj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw4n8obj20yi1pckjm.jpg
http://wx4.sinaimg.cn/mw690/55a65ff4gy1gbacw611gyj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacvzjthdj20yi1pchdu.jpg
http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw7ee0aj20yi1pcb2a.jpg
http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw137b5j20yi1pce82.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw2t4fqj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw4n8obj20yi1pckjm.jpg
http://wx4.sinaimg.cn/mw690/55a65ff4gy1gbacw611gyj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacvzjthdj20yi1pchdu.jpg
http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw7ee0aj20yi1pcb2a.jpg",,april颦,这种人本身也不值得原谅！,1月26日 23:17,3889,一颗甜柚yaa,"
            一颗甜柚yaa：有个人明明已经发烧了还在昆明城绕了六天才去医院 居心何在啊        ",1月26日 23:34
https://www.weibo.com/1436966900/Irk2pepSC?type=comment#_rnd1584022085961,april颦, 1月26日 22:59,April's iPhone客户端,"
                                                                                                                        #500万人离开武汉#再发一遍：请原谅那些在不知情的情况下离开武汉的武汉人，谢谢大家了。 2武汉 ​​​​                                            ",27398,29416,341374,"http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw137b5j20yi1pce82.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw2t4fqj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw4n8obj20yi1pckjm.jpg
http://wx4.sinaimg.cn/mw690/55a65ff4gy1gbacw611gyj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacvzjthdj20yi1pchdu.jpg
http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw7ee0aj20yi1pcb2a.jpg
http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw137b5j20yi1pce82.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw2t4fqj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw4n8obj20yi1pckjm.jpg
http://wx4.sinaimg.cn/mw690/55a65ff4gy1gbacw611gyj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacvzjthdj20yi1pchdu.jpg
http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw7ee0aj20yi1pcb2a.jpg",,一颗甜柚yaa,有个人明明已经发烧了还在昆明城绕了六天才去医院居心何在啊,1月26日 23:34,3959,rua一只生鲜,"
            rua一只生鲜：如果不是景区排查，还要在景区晃荡害多少人        ",1月26日 23:20
https://www.weibo.com/1436966900/Irk2pepSC?type=comment#_rnd1584022085961,april颦, 1月26日 22:59,April's iPhone客户端,"
                                                                                                                        #500万人离开武汉#再发一遍：请原谅那些在不知情的情况下离开武汉的武汉人，谢谢大家了。 2武汉 ​​​​                                            ",27398,29416,341374,"http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw137b5j20yi1pce82.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw2t4fqj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw4n8obj20yi1pckjm.jpg
http://wx4.sinaimg.cn/mw690/55a65ff4gy1gbacw611gyj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacvzjthdj20yi1pchdu.jpg
http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw7ee0aj20yi1pcb2a.jpg
http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw137b5j20yi1pce82.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw2t4fqj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw4n8obj20yi1pckjm.jpg
http://wx4.sinaimg.cn/mw690/55a65ff4gy1gbacw611gyj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacvzjthdj20yi1pchdu.jpg
http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw7ee0aj20yi1pcb2a.jpg",,rua一只生鲜,如果不是景区排查，还要在景区晃荡害多少人,1月26日 23:20,1904,你的超锅哟,"
            你的超锅哟：还有那个21号在昆明坐遍三条地铁线的        ",1月26日 23:36
https://www.weibo.com/1436966900/Irk2pepSC?type=comment#_rnd1584022085961,april颦, 1月26日 22:59,April's iPhone客户端,"
                                                                                                                        #500万人离开武汉#再发一遍：请原谅那些在不知情的情况下离开武汉的武汉人，谢谢大家了。 2武汉 ​​​​                                            ",27398,29416,341374,"http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw137b5j20yi1pce82.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw2t4fqj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw4n8obj20yi1pckjm.jpg
http://wx4.sinaimg.cn/mw690/55a65ff4gy1gbacw611gyj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacvzjthdj20yi1pchdu.jpg
http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw7ee0aj20yi1pcb2a.jpg
http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw137b5j20yi1pce82.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw2t4fqj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw4n8obj20yi1pckjm.jpg
http://wx4.sinaimg.cn/mw690/55a65ff4gy1gbacw611gyj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacvzjthdj20yi1pchdu.jpg
http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw7ee0aj20yi1pcb2a.jpg",,你的超锅哟,还有那个21号在昆明坐遍三条地铁线的,1月26日 23:36,1704,保持你的决心,"
            保持你的决心：是的，无法原谅，当时非典都没来到我们云南……现在就因为一些憨批乱跑，老老实实待着不好吗        ",1月26日 23:29
https://www.weibo.com/1436966900/Irk2pepSC?type=comment#_rnd1584022085961,april颦, 1月26日 22:59,April's iPhone客户端,"
                                                                                                                        #500万人离开武汉#再发一遍：请原谅那些在不知情的情况下离开武汉的武汉人，谢谢大家了。 2武汉 ​​​​                                            ",27398,29416,341374,"http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw137b5j20yi1pce82.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw2t4fqj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw4n8obj20yi1pckjm.jpg
http://wx4.sinaimg.cn/mw690/55a65ff4gy1gbacw611gyj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacvzjthdj20yi1pchdu.jpg
http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw7ee0aj20yi1pcb2a.jpg
http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw137b5j20yi1pce82.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw2t4fqj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw4n8obj20yi1pckjm.jpg
http://wx4.sinaimg.cn/mw690/55a65ff4gy1gbacw611gyj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacvzjthdj20yi1pchdu.jpg
http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw7ee0aj20yi1pcb2a.jpg",,保持你的决心,是的，无法原谅，当时非典都没来到我们云南……现在就因为一些憨批乱跑，老老实实待着不好吗,1月26日 23:29,1471,允于迟暮,"
            允于迟暮：云南人表示一脸懵逼 突然就来了好多旅游的人 还是在通知不要外出的时候来的        ",1月26日 23:31
https://www.weibo.com/1436966900/Irk2pepSC?type=comment#_rnd1584022085961,april颦, 1月26日 22:59,April's iPhone客户端,"
                                                                                                                        #500万人离开武汉#再发一遍：请原谅那些在不知情的情况下离开武汉的武汉人，谢谢大家了。 2武汉 ​​​​                                            ",27398,29416,341374,"http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw137b5j20yi1pce82.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw2t4fqj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw4n8obj20yi1pckjm.jpg
http://wx4.sinaimg.cn/mw690/55a65ff4gy1gbacw611gyj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacvzjthdj20yi1pchdu.jpg
http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw7ee0aj20yi1pcb2a.jpg
http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw137b5j20yi1pce82.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw2t4fqj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw4n8obj20yi1pckjm.jpg
http://wx4.sinaimg.cn/mw690/55a65ff4gy1gbacw611gyj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacvzjthdj20yi1pchdu.jpg
http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw7ee0aj20yi1pcb2a.jpg",,允于迟暮,云南人表示一脸懵逼突然就来了好多旅游的人还是在通知不要外出的时候来的,1月26日 23:31,1211,阿獸于和他的影子,"
            阿獸于和他的影子：最可气的是在网上说了几句这些人后，还有武汉的人来骂我，微博挂我，让我给武汉人民交代，气死了        ",1月26日 23:35
https://www.weibo.com/1436966900/Irk2pepSC?type=comment#_rnd1584022085961,april颦, 1月26日 22:59,April's iPhone客户端,"
                                                                                                                        #500万人离开武汉#再发一遍：请原谅那些在不知情的情况下离开武汉的武汉人，谢谢大家了。 2武汉 ​​​​                                            ",27398,29416,341374,"http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw137b5j20yi1pce82.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw2t4fqj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw4n8obj20yi1pckjm.jpg
http://wx4.sinaimg.cn/mw690/55a65ff4gy1gbacw611gyj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacvzjthdj20yi1pchdu.jpg
http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw7ee0aj20yi1pcb2a.jpg
http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw137b5j20yi1pce82.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw2t4fqj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw4n8obj20yi1pckjm.jpg
http://wx4.sinaimg.cn/mw690/55a65ff4gy1gbacw611gyj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacvzjthdj20yi1pchdu.jpg
http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw7ee0aj20yi1pcb2a.jpg",,阿獸于和他的影子,最可气的是在网上说了几句这些人后，还有武汉的人来骂我，微博挂我，让我给武汉人民交代，气死了,1月26日 23:35,1106,哆啦C梦和,"
            哆啦C梦和：嗯，大过年来云南旅游，还跟团。操作挺骚的        ",1月26日 23:19
https://www.weibo.com/1436966900/Irk2pepSC?type=comment#_rnd1584022085961,april颦, 1月26日 22:59,April's iPhone客户端,"
                                                                                                                        #500万人离开武汉#再发一遍：请原谅那些在不知情的情况下离开武汉的武汉人，谢谢大家了。 2武汉 ​​​​                                            ",27398,29416,341374,"http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw137b5j20yi1pce82.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw2t4fqj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw4n8obj20yi1pckjm.jpg
http://wx4.sinaimg.cn/mw690/55a65ff4gy1gbacw611gyj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacvzjthdj20yi1pchdu.jpg
http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw7ee0aj20yi1pcb2a.jpg
http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw137b5j20yi1pce82.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw2t4fqj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw4n8obj20yi1pckjm.jpg
http://wx4.sinaimg.cn/mw690/55a65ff4gy1gbacw611gyj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacvzjthdj20yi1pchdu.jpg
http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw7ee0aj20yi1pcb2a.jpg",,哆啦C梦和,嗯，大过年来云南旅游，还跟团。操作挺骚的,1月26日 23:19,904,shirley是年度瞌睡王,"
            shirley是年度瞌睡王：对，今天增加的一个病例居然在腾冲的景区排查的时候发现的，太可恨了！要害多少人！        ",1月26日 23:32
https://www.weibo.com/1436966900/Irk2pepSC?type=comment#_rnd1584022085961,april颦, 1月26日 22:59,April's iPhone客户端,"
                                                                                                                        #500万人离开武汉#再发一遍：请原谅那些在不知情的情况下离开武汉的武汉人，谢谢大家了。 2武汉 ​​​​                                            ",27398,29416,341374,"http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw137b5j20yi1pce82.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw2t4fqj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw4n8obj20yi1pckjm.jpg
http://wx4.sinaimg.cn/mw690/55a65ff4gy1gbacw611gyj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacvzjthdj20yi1pchdu.jpg
http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw7ee0aj20yi1pcb2a.jpg
http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw137b5j20yi1pce82.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw2t4fqj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacw4n8obj20yi1pckjm.jpg
http://wx4.sinaimg.cn/mw690/55a65ff4gy1gbacw611gyj20yi1pckjm.jpg
http://wx1.sinaimg.cn/mw690/55a65ff4gy1gbacvzjthdj20yi1pchdu.jpg
http://wx3.sinaimg.cn/mw690/55a65ff4gy1gbacw7ee0aj20yi1pcb2a.jpg",,shirley是年度瞌睡王,对，今天增加的一个病例居然在腾冲的景区排查的时候发现的，太可恨了！要害多少人！,1月26日 23:32,869,桜錦哈路_,"
            桜錦哈路_：还有明明已经确诊了还要逃跑 警察医生都找不到的那种人 居心啊        ",1月26日 23:35
