博文网址,发帖子人,博文发布时间,来自,博文内容,转发数,评论数,点赞数,博文图片,博文视频,评论者,评论内容,评论时间,评论点赞,二级评论人,二级评论内容,二级评论时间
https://www.weibo.com/2803301701/IxR4atsiN?refer_flag=1001030103_&type=comment#_rnd1585370734932,人民日报, 3月9日 22:06,微博 weibo.com,"
                                                                                                                        【#美股熔断#！#纽交所因暴跌宣布暂停交易15分钟#】周一早美国股市开盘，受原油价格下跌超过30%，及新冠肺炎疫情影响，美股重挫，国债收益率暴跌，信贷市场受到冲击。纽交所基准股指下跌7%，纽交所宣布熔断机制将暂停交易15分钟。（吴乐珺） ​​​​                                            ",8275,12875,293806,http://wx4.sinaimg.cn/mw690/a716fd45ly1gco11alozzj20ob0obk0y.jpg,,赵老宽呀,有课代表吗不懂这玩意,3月9日 22:06,8154,,,
https://www.weibo.com/2803301701/IxR4atsiN?refer_flag=1001030103_&type=comment#_rnd1585370734932,人民日报, 3月9日 22:06,微博 weibo.com,"
                                                                                                                        【#美股熔断#！#纽交所因暴跌宣布暂停交易15分钟#】周一早美国股市开盘，受原油价格下跌超过30%，及新冠肺炎疫情影响，美股重挫，国债收益率暴跌，信贷市场受到冲击。纽交所基准股指下跌7%，纽交所宣布熔断机制将暂停交易15分钟。（吴乐珺） ​​​​                                            ",8275,12875,293806,http://wx4.sinaimg.cn/mw690/a716fd45ly1gco11alozzj20ob0obk0y.jpg,,赵老宽呀,有课代表吗不懂这玩意,3月9日 22:06,8154,-Betterain,"
            -Betterain：通俗意思就是美国股民被割韭菜了，美国股市暴跌，跌到不能再跌了，触发了类似保险丝熔断的机制，保护美国股市的稳定，美国亏死了        ",3月9日 22:07
https://www.weibo.com/2803301701/IxR4atsiN?refer_flag=1001030103_&type=comment#_rnd1585370734932,人民日报, 3月9日 22:06,微博 weibo.com,"
                                                                                                                        【#美股熔断#！#纽交所因暴跌宣布暂停交易15分钟#】周一早美国股市开盘，受原油价格下跌超过30%，及新冠肺炎疫情影响，美股重挫，国债收益率暴跌，信贷市场受到冲击。纽交所基准股指下跌7%，纽交所宣布熔断机制将暂停交易15分钟。（吴乐珺） ​​​​                                            ",8275,12875,293806,http://wx4.sinaimg.cn/mw690/a716fd45ly1gco11alozzj20ob0obk0y.jpg,,-Betterain,通俗意思就是美国股民被割韭菜了，美国股市暴跌，跌到不能再跌了，触发了类似保险丝熔断的机制，保护美国股市的稳定，美国亏死了,3月9日 22:07,13331,一生挚爱宋祖儿,"
            一生挚爱宋祖儿：跌的太狠了，拉闸让市场暂停交易十五分钟冷静冷静        ",3月9日 22:07
https://www.weibo.com/2803301701/IxR4atsiN?refer_flag=1001030103_&type=comment#_rnd1585370734932,人民日报, 3月9日 22:06,微博 weibo.com,"
                                                                                                                        【#美股熔断#！#纽交所因暴跌宣布暂停交易15分钟#】周一早美国股市开盘，受原油价格下跌超过30%，及新冠肺炎疫情影响，美股重挫，国债收益率暴跌，信贷市场受到冲击。纽交所基准股指下跌7%，纽交所宣布熔断机制将暂停交易15分钟。（吴乐珺） ​​​​                                            ",8275,12875,293806,http://wx4.sinaimg.cn/mw690/a716fd45ly1gco11alozzj20ob0obk0y.jpg,,一生挚爱宋祖儿,跌的太狠了，拉闸让市场暂停交易十五分钟冷静冷静,3月9日 22:07,9767,程滕VS,"
            程滕VS：国债亏死了，我国是美国最大的国债持有国        ",3月9日 22:16
https://www.weibo.com/2803301701/IxR4atsiN?refer_flag=1001030103_&type=comment#_rnd1585370734932,人民日报, 3月9日 22:06,微博 weibo.com,"
                                                                                                                        【#美股熔断#！#纽交所因暴跌宣布暂停交易15分钟#】周一早美国股市开盘，受原油价格下跌超过30%，及新冠肺炎疫情影响，美股重挫，国债收益率暴跌，信贷市场受到冲击。纽交所基准股指下跌7%，纽交所宣布熔断机制将暂停交易15分钟。（吴乐珺） ​​​​                                            ",8275,12875,293806,http://wx4.sinaimg.cn/mw690/a716fd45ly1gco11alozzj20ob0obk0y.jpg,,程滕VS,国债亏死了，我国是美国最大的国债持有国,3月9日 22:16,8577,双子座XFZ,"
            双子座XFZ：课代表都上天台了        ",3月9日 22:21
https://www.weibo.com/2803301701/IxR4atsiN?refer_flag=1001030103_&type=comment#_rnd1585370734932,人民日报, 3月9日 22:06,微博 weibo.com,"
                                                                                                                        【#美股熔断#！#纽交所因暴跌宣布暂停交易15分钟#】周一早美国股市开盘，受原油价格下跌超过30%，及新冠肺炎疫情影响，美股重挫，国债收益率暴跌，信贷市场受到冲击。纽交所基准股指下跌7%，纽交所宣布熔断机制将暂停交易15分钟。（吴乐珺） ​​​​                                            ",8275,12875,293806,http://wx4.sinaimg.cn/mw690/a716fd45ly1gco11alozzj20ob0obk0y.jpg,,双子座XFZ,课代表都上天台了,3月9日 22:21,8989,山猫佳南,"
            山猫佳南：这个时候是看不到课代表的，他们的强项是在风平浪尽时滔滔不绝。        ",3月9日 22:18
https://www.weibo.com/2803301701/IxR4atsiN?refer_flag=1001030103_&type=comment#_rnd1585370734932,人民日报, 3月9日 22:06,微博 weibo.com,"
                                                                                                                        【#美股熔断#！#纽交所因暴跌宣布暂停交易15分钟#】周一早美国股市开盘，受原油价格下跌超过30%，及新冠肺炎疫情影响，美股重挫，国债收益率暴跌，信贷市场受到冲击。纽交所基准股指下跌7%，纽交所宣布熔断机制将暂停交易15分钟。（吴乐珺） ​​​​                                            ",8275,12875,293806,http://wx4.sinaimg.cn/mw690/a716fd45ly1gco11alozzj20ob0obk0y.jpg,,山猫佳南,这个时候是看不到课代表的，他们的强项是在风平浪尽时滔滔不绝。,3月9日 22:18,6007,苏小叶2030,"
            苏小叶2030：什么是熔断？纽交所三个级别的熔断触发值（按标普500指数前一交易日收盘价算）：第一级：下跌7%，触发第一级熔断，暂停交易15分钟；第二级：下跌13%，触发第二级熔断，同样暂停交易15分钟；第三级：下跌20%，触发第三级熔断，当天交易终止。        ",3月9日 22:12
https://www.weibo.com/2803301701/IxR4atsiN?refer_flag=1001030103_&type=comment#_rnd1585370734932,人民日报, 3月9日 22:06,微博 weibo.com,"
                                                                                                                        【#美股熔断#！#纽交所因暴跌宣布暂停交易15分钟#】周一早美国股市开盘，受原油价格下跌超过30%，及新冠肺炎疫情影响，美股重挫，国债收益率暴跌，信贷市场受到冲击。纽交所基准股指下跌7%，纽交所宣布熔断机制将暂停交易15分钟。（吴乐珺） ​​​​                                            ",8275,12875,293806,http://wx4.sinaimg.cn/mw690/a716fd45ly1gco11alozzj20ob0obk0y.jpg,,苏小叶2030,什么是熔断？纽交所三个级别的熔断触发值（按标普500指数前一交易日收盘价算）：第一级：下跌7%，触发第一级熔断，暂停交易15分钟；第二级：下跌13%，触发第二级熔断，同样暂停交易15分钟；第三级：下跌20%，触发第三级熔断，当天交易终止。,3月9日 22:12,3878,circle山遥,"
            circle山遥：看来都是新朋友，没见过A股当初的熔断机制，开盘五分钟，休息一整天        ",3月9日 22:16
https://www.weibo.com/2803301701/IxR4atsiN?refer_flag=1001030103_&type=comment#_rnd1585370734932,人民日报, 3月9日 22:06,微博 weibo.com,"
                                                                                                                        【#美股熔断#！#纽交所因暴跌宣布暂停交易15分钟#】周一早美国股市开盘，受原油价格下跌超过30%，及新冠肺炎疫情影响，美股重挫，国债收益率暴跌，信贷市场受到冲击。纽交所基准股指下跌7%，纽交所宣布熔断机制将暂停交易15分钟。（吴乐珺） ​​​​                                            ",8275,12875,293806,http://wx4.sinaimg.cn/mw690/a716fd45ly1gco11alozzj20ob0obk0y.jpg,,circle山遥,看来都是新朋友，没见过A股当初的熔断机制，开盘五分钟，休息一整天,3月9日 22:16,3669,做快乐的火锅,"
            做快乐的火锅：所谓熔断，就是你去打牌，分分钟输光了，庄家暂停15分钟让你去楼下ATM取钱，然后你取了钱分分钟又输光了，庄家说，今天就到这儿吧，你手气太差了。熔断        ",3月9日 23:12
https://www.weibo.com/2803301701/IxR4atsiN?refer_flag=1001030103_&type=comment#_rnd1585370734932,人民日报, 3月9日 22:06,微博 weibo.com,"
                                                                                                                        【#美股熔断#！#纽交所因暴跌宣布暂停交易15分钟#】周一早美国股市开盘，受原油价格下跌超过30%，及新冠肺炎疫情影响，美股重挫，国债收益率暴跌，信贷市场受到冲击。纽交所基准股指下跌7%，纽交所宣布熔断机制将暂停交易15分钟。（吴乐珺） ​​​​                                            ",8275,12875,293806,http://wx4.sinaimg.cn/mw690/a716fd45ly1gco11alozzj20ob0obk0y.jpg,,做快乐的火锅,所谓熔断，就是你去打牌，分分钟输光了，庄家暂停15分钟让你去楼下ATM取钱，然后你取了钱分分钟又输光了，庄家说，今天就到这儿吧，你手气太差了。熔断,3月9日 23:12,3032,JuxtaposeSorrySeries,"
            JuxtaposeSorrySeries：恐慌比较严重 资本都准备避险        ",3月9日 22:07
