博文网址,发帖子人,博文发布时间,来自,博文内容,转发数,评论数,点赞数,博文图片,博文视频,评论者,评论内容,评论时间,评论点赞,二级评论人,二级评论内容,二级评论时间
https://www.weibo.com/2028810631/IAFWkc2sz?refer_flag=1001030103_&type=comment#_rnd1585382148237,,,,,,,,,,人类迷惑行为bot,何以解忧，唯有奶茶,今天 11:18,,,,
https://www.weibo.com/2028810631/IAFWkc2sz?refer_flag=1001030103_&type=comment#_rnd1585382148237,,,,,,,,,,人类迷惑行为bot,何以解忧，唯有奶茶,今天 11:18,,咸蛋黄啵啵兔叽包,"
            咸蛋黄啵啵兔叽包：还有炸鸡 麻辣烫 麻辣香锅 海底捞 火锅 冰阔落        ",今天 12:19
https://www.weibo.com/2028810631/IAFWkc2sz?refer_flag=1001030103_&type=comment#_rnd1585382148237,,,,,,,,,,咸蛋黄啵啵兔叽包,还有炸鸡麻辣烫麻辣香锅海底捞火锅冰阔落,今天 12:19,4798,McGeniusW,"
            McGeniusW：淡黄的布丁，蓬松的仙草，它不香吗        ",今天 12:45
https://www.weibo.com/2028810631/IAFWkc2sz?refer_flag=1001030103_&type=comment#_rnd1585382148237,,,,,,,,,,McGeniusW,淡黄的布丁，蓬松的仙草，它不香吗,今天 12:45,4574,煮了个盐蛋呗,"
            煮了个盐蛋呗：我们黄石17号那天可以外卖奶茶，开店不到十分钟接了一百多单，后来直接两家店全部下线停止接单        ",今天 12:27
https://www.weibo.com/2028810631/IAFWkc2sz?refer_flag=1001030103_&type=comment#_rnd1585382148237,,,,,,,,,,煮了个盐蛋呗,我们黄石17号那天可以外卖奶茶，开店不到十分钟接了一百多单，后来直接两家店全部下线停止接单,今天 12:27,1525,DDD2-,"
            DDD2-：中国人的快乐，奶茶        ",今天 12:25
https://www.weibo.com/2028810631/IAFWkc2sz?refer_flag=1001030103_&type=comment#_rnd1585382148237,,,,,,,,,,DDD2-,中国人的快乐，奶茶,今天 12:25,970,顾飞的老婆,"
            顾飞的老婆：不，只要是好吃的都行        ",今天 12:36
https://www.weibo.com/2028810631/IAFWkc2sz?refer_flag=1001030103_&type=comment#_rnd1585382148237,,,,,,,,,,顾飞的老婆,不，只要是好吃的都行,今天 12:36,428,被吴宣仪迷晕了,"
            被吴宣仪迷晕了：自从美国承认爆发新冠病毒以来，美国的流感就消失了，你说巧不巧？真是好巧大家可以来我首页看看来自美国病毒的证据！！！。        ",今天 12:50
https://www.weibo.com/2028810631/IAFWkc2sz?refer_flag=1001030103_&type=comment#_rnd1585382148237,,,,,,,,,,被吴宣仪迷晕了,自从美国承认爆发新冠病毒以来，美国的流感就消失了，你说巧不巧？真是好巧大家可以来我首页看看来自美国病毒的证据！！！。,今天 12:50,263,SC-辰,"
            SC-辰：奶茶火锅海底捞，可乐炸鸡回首掏 串串豆腐路边摊，雪碧啤酒往里掺🙊        ",今天 12:48
https://www.weibo.com/2028810631/IAFWkc2sz?refer_flag=1001030103_&type=comment#_rnd1585382148237,,,,,,,,,,SC-辰,奶茶火锅海底捞，可乐炸鸡回首掏串串豆腐路边摊，雪碧啤酒往里掺🙊,今天 12:48,151,听星河说夏的故事,"
            听星河说夏的故事：大.…...........大.........大型.........扫.....黄现场        ",今天 12:23
https://www.weibo.com/2028810631/IAFWkc2sz?refer_flag=1001030103_&type=comment#_rnd1585382148237,,,,,,,,,,听星河说夏的故事,大.…...........大.........大型.........扫.....黄现场,今天 12:23,62,艾李布里,"
            艾李布里：我怀疑🐔 是不是机器人        ",今天 12:56
https://www.weibo.com/2028810631/IAFWkc2sz?refer_flag=1001030103_&type=comment#_rnd1585382148237,,,,,,,,,,艾李布里,我怀疑🐔是不是机器人,今天 12:56,37,心内偏光,"
            心内偏光：割……………以……………永………治……………🌹        ",今天 12:27
https://www.weibo.com/2028810631/IAFWkc2sz?refer_flag=1001030103_&type=comment#_rnd1585382148237,,,,,,,,,,心内偏光,割……………以……………永………治……………🌹,今天 12:27,35,CYMmua,"
            CYMmua：说冰可乐麻辣烫的，痛经的时候他们还香吗        ",今天 13:06
https://www.weibo.com/2028810631/IAFWkc2sz?refer_flag=1001030103_&type=comment#_rnd1585382148237,,,,,,,,,,CYMmua,说冰可乐麻辣烫的，痛经的时候他们还香吗,今天 13:06,34,穿超短裙杠狙,"
            穿超短裙杠狙：只有奶茶可以让我在对召唤师峡谷的希望中找到一丝快乐        ",今天 13:19
https://www.weibo.com/2028810631/IAFWkc2sz?refer_flag=1001030103_&type=comment#_rnd1585382148237,,,,,,,,,,穿超短裙杠狙,只有奶茶可以让我在对召唤师峡谷的希望中找到一丝快乐,今天 13:19,18,沒有春夢,"
            沒有春夢：@Best_tizzy 快……来……看……笑死……我……了        ",今天 12:21
https://www.weibo.com/2028810631/IAFWkc2sz?refer_flag=1001030103_&type=comment#_rnd1585382148237,,,,,,,,,,沒有春夢,@Best_tizzy快……来……看……笑死……我……了,今天 12:21,9,凯恩如找哈胡思,"
            凯恩如找哈胡思：这……一……层……真是……厉……害了@扫黄打非        ",今天 12:39
https://www.weibo.com/2028810631/IAFWkc2sz?refer_flag=1001030103_&type=comment#_rnd1585382148237,,,,,,,,,,凯恩如找哈胡思,这……一……层……真是……厉……害了@扫黄打非,今天 12:39,11,奶啤最好喝,"
            奶啤最好喝：等到胖了的那天，你就知道何为真正的忧了        ",今天 13:40
https://www.weibo.com/2028810631/IAFWkc2sz?refer_flag=1001030103_&type=comment#_rnd1585382148237,,,,,,,,,,和全网扯上关系,一直很尊重奶茶没去冰没少糖没少喝​​​,今天 12:00,44083,,,
https://www.weibo.com/2028810631/IAFWkc2sz?refer_flag=1001030103_&type=comment#_rnd1585382148237,,,,,,,,,,和全网扯上关系,一直很尊重奶茶没去冰没少糖没少喝​​​,今天 12:00,44083,尤来一梦,"
            尤来一梦：一直不尊重奶茶，不要冰，不要糖，不要停        ",今天 12:15
https://www.weibo.com/2028810631/IAFWkc2sz?refer_flag=1001030103_&type=comment#_rnd1585382148237,,,,,,,,,,尤来一梦,一直不尊重奶茶，不要冰，不要糖，不要停,今天 12:15,11721,小秦不吃榛子,"
            小秦不吃榛子：就当是一场梦，醒了还是很感动，虽然这世界很坏，但我有奶茶不赖        ",今天 12:31
https://www.weibo.com/2028810631/IAFWkc2sz?refer_flag=1001030103_&type=comment#_rnd1585382148237,,,,,,,,,,小秦不吃榛子,就当是一场梦，醒了还是很感动，虽然这世界很坏，但我有奶茶不赖,今天 12:31,9972,善良博主,"
            善良博主：你不扯关系了吗 不说奶茶是你了吗        ",今天 12:27
https://www.weibo.com/2028810631/IAFWkc2sz?refer_flag=1001030103_&type=comment#_rnd1585382148237,,,,,,,,,,善良博主,你不扯关系了吗不说奶茶是你了吗,今天 12:27,2745,榴莲猴的食指与中指,"
            榴莲猴的食指与中指：谁让你学我牛姐文案的        ",今天 12:48
https://www.weibo.com/2028810631/IAFWkc2sz?refer_flag=1001030103_&type=comment#_rnd1585382148237,,,,,,,,,,榴莲猴的食指与中指,谁让你学我牛姐文案的,今天 12:48,2780,HiFiuuu,"
            HiFiuuu：一直很尊重吴老师        ",今天 12:19
https://www.weibo.com/2028810631/IAFWkc2sz?refer_flag=1001030103_&type=comment#_rnd1585382148237,,,,,,,,,,HiFiuuu,一直很尊重吴老师,今天 12:19,1701,xunhua-,"
            xunhua-：啥梗来着，好耳熟        ",今天 12:24
https://www.weibo.com/2028810631/IAFWkc2sz?refer_flag=1001030103_&type=comment#_rnd1585382148237,,,,,,,,,,xunhua-,啥梗来着，好耳熟,今天 12:24,1498,就是仙儿本人了,"
            就是仙儿本人了：淡黄的奶茶蓬松的奶盖        ",今天 12:54
https://www.weibo.com/2028810631/IAFWkc2sz?refer_flag=1001030103_&type=comment#_rnd1585382148237,,,,,,,,,,就是仙儿本人了,淡黄的奶茶蓬松的奶盖,今天 12:54,1210,Joy小妞要努力,"
            Joy小妞要努力：去冰，因为这样能得到足量奶茶！全糖，这样才快乐！超大杯，这样才满足        ",今天 12:40
https://www.weibo.com/2028810631/IAFWkc2sz?refer_flag=1001030103_&type=comment#_rnd1585382148237,,,,,,,,,,Joy小妞要努力,去冰，因为这样能得到足量奶茶！全糖，这样才快乐！超大杯，这样才满足,今天 12:40,596,la个很帅的ikun,"
            la个很帅的ikun：奶茶它有亮点你懂吗？ 它能读懂消费者 它有跟镜头互动        ",今天 13:03
https://www.weibo.com/2028810631/IAFWkc2sz?refer_flag=1001030103_&type=comment#_rnd1585382148237,,,,,,,,,,la个很帅的ikun,奶茶它有亮点你懂吗？它能读懂消费者它有跟镜头互动,今天 13:03,435,是你的魔鬼1990,"
            是你的魔鬼1990：一直很尊重奶茶 去冰少糖两份珍珠        ",今天 12:40
https://www.weibo.com/2028810631/IAFWkc2sz?refer_flag=1001030103_&type=comment#_rnd1585382148237,,,,,,,,,,是你的魔鬼1990,一直很尊重奶茶去冰少糖两份珍珠,今天 12:40,272,幻青苏,"
            幻青苏：我还以为你就是图片里那个奶茶        ",今天 12:25
https://www.weibo.com/2028810631/IAFWkc2sz?refer_flag=1001030103_&type=comment#_rnd1585382148237,,,,,,,,,,幻青苏,我还以为你就是图片里那个奶茶,今天 12:25,247,VCchangc,"
            VCchangc：必须少糖去冰，冰太多了奶茶味道太淡了        ",今天 12:30
https://www.weibo.com/2028810631/IAFWkc2sz?refer_flag=1001030103_&type=comment#_rnd1585382148237,,,,,,,,,,VCchangc,必须少糖去冰，冰太多了奶茶味道太淡了,今天 12:30,171,对旺仔上瘾,"
            对旺仔上瘾：我去！哈哈哈自古评论出人才        ",今天 12:42
