博文网址,发帖子人,博文发布时间,来自,博文内容,转发数,评论数,点赞数,博文图片,博文视频,评论者,评论内容,评论时间,评论点赞,二级评论人,二级评论内容,二级评论时间
https://www.weibo.com/6250824982/IznHsdFlJ?refer_flag=1001030103_&type=comment,,,,,,,,,,哔哔哔哔哔哔哔哔哔_哔了喵了,确实，没有人比他更懂新冠了！,3月19日 23:01,177672,,,
https://www.weibo.com/6250824982/IznHsdFlJ?refer_flag=1001030103_&type=comment,,,,,,,,,,哔哔哔哔哔哔哔哔哔_哔了喵了,确实，没有人比他更懂新冠了！,3月19日 23:01,177672,任世豪的婴宁夫人,"
            任世豪的婴宁夫人：2019年6月美国出现病毒肺炎死亡200多人的病例，症状同是发热咳嗽和肺部变白，特朗普说是电子烟造成的。2019年8月美国最大的生化武器工厂关闭。2019年10月武汉军运会美军成绩成了历届中最差，外媒称因美军有大部分感染流感而未能参赛。而美军参赛前的训练基地离关闭的那个生化工厂很近。特朗普早就知道        ",3月20日 07:38
https://www.weibo.com/6250824982/IznHsdFlJ?refer_flag=1001030103_&type=comment,,,,,,,,,,任世豪的婴宁夫人,2019年6月美国出现病毒肺炎死亡200多人的病例，症状同是发热咳嗽和肺部变白，特朗普说是电子烟造成的。2019年8月美国最大的生化武器工厂关闭。2019年10月武汉军运会美军成绩成了历届中最差，外媒称因美军有大部分感染流感而未能参赛。而美军参赛前的训练基地离关闭的那个生化工厂很近。特朗普早就知道,3月20日 07:38,24428,倾城亦夏,"
            倾城亦夏：他投的毒，他肯定最懂了        ",3月19日 23:18
https://www.weibo.com/6250824982/IznHsdFlJ?refer_flag=1001030103_&type=comment,,,,,,,,,,倾城亦夏,他投的毒，他肯定最懂了,3月19日 23:18,18524,德胜胜的super小宝宝,"
            德胜胜的super小宝宝：愿病毒早日战胜特朗普        ",3月20日 07:46
https://www.weibo.com/6250824982/IznHsdFlJ?refer_flag=1001030103_&type=comment,,,,,,,,,,德胜胜的super小宝宝,愿病毒早日战胜特朗普,3月20日 07:46,12795,好名字全让键盘侠注册了,"
            好名字全让键盘侠注册了：我早就知道，就是不说        ",3月20日 07:25
https://www.weibo.com/6250824982/IznHsdFlJ?refer_flag=1001030103_&type=comment,,,,,,,,,,好名字全让键盘侠注册了,我早就知道，就是不说,3月20日 07:25,4795,是七陌吖,"
            是七陌吖：确实没人比他更懂了，头一回知道原来总统是可以这么不负责任不靠谱的        ",3月20日 07:28
https://www.weibo.com/6250824982/IznHsdFlJ?refer_flag=1001030103_&type=comment,,,,,,,,,,是七陌吖,确实没人比他更懂了，头一回知道原来总统是可以这么不负责任不靠谱的,3月20日 07:28,3913,叉子123321,"
            叉子123321：一张嘴就熔断，我怀疑他做空美股        ",3月20日 07:47
https://www.weibo.com/6250824982/IznHsdFlJ?refer_flag=1001030103_&type=comment,,,,,,,,,,叉子123321,一张嘴就熔断，我怀疑他做空美股,3月20日 07:47,3281,十三月的十三_,"
            十三月的十三_：毕竟他就是最大的病毒        ",3月20日 07:48
https://www.weibo.com/6250824982/IznHsdFlJ?refer_flag=1001030103_&type=comment,,,,,,,,,,十三月的十三_,毕竟他就是最大的病毒,3月20日 07:48,2036,无敌小果子萌多多,"
            无敌小果子萌多多：感觉早就写好了剧本：美国的病毒去年后半年在美国流行时，他们已经悄悄检测出来，并且开始研制疫苗（美剧血疫他们就是暗中操作的，不会告诉百姓）。随后带到中国在中国爆发，然后全世界爆发，美国将矛盾转移到中国掩人耳目，最终美国的疫苗诞世，拯救了世界？这踏马不就是美国英雄主义情节拯救世界？        ",3月20日 08:45
https://www.weibo.com/6250824982/IznHsdFlJ?refer_flag=1001030103_&type=comment,,,,,,,,,,无敌小果子萌多多,感觉早就写好了剧本：美国的病毒去年后半年在美国流行时，他们已经悄悄检测出来，并且开始研制疫苗（美剧血疫他们就是暗中操作的，不会告诉百姓）。随后带到中国在中国爆发，然后全世界爆发，美国将矛盾转移到中国掩人耳目，最终美国的疫苗诞世，拯救了世界？这踏马不就是美国英雄主义情节拯救世界？,3月20日 08:45,1861,VV-GD,"
            VV-GD：图片评论 ¡评论配图        ",3月20日 07:54
