博文网址,发帖子人,博文发布时间,来自,博文内容,转发数,评论数,点赞数,博文图片,博文视频,评论者,评论内容,评论时间,评论点赞,二级评论人,二级评论内容,二级评论时间
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,Ryuuku-S,翻译:别回了，在那呆着，做好防护措施,3月16日 22:47,4856,,,
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,Ryuuku-S,翻译:别回了，在那呆着，做好防护措施,3月16日 22:47,4856,L3咸汤圆,"
            L3咸汤圆：因为不走在家安静呆着肯定比坐飞机到处转机安全啊，在欧洲回国基本都要转飞机的，机场其实是非常危险的地方，但是如果你可以保护好自己回来，我们也不可以不让我们的国人回国        ",3月16日 23:03
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,L3咸汤圆,因为不走在家安静呆着肯定比坐飞机到处转机安全啊，在欧洲回国基本都要转飞机的，机场其实是非常危险的地方，但是如果你可以保护好自己回来，我们也不可以不让我们的国人回国,3月16日 23:03,928,koeda36724,"
            koeda36724：别回来了，自己做好防护措施吧!本来一开始牙科医生说三月上旬就可以开门了，现在说三月底，我龋齿一直在疼，到现在疼了一个月了，上学什么的弱爆了，我只想把我的牙齿弄好        ",3月16日 23:13
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,koeda36724,别回来了，自己做好防护措施吧!本来一开始牙科医生说三月上旬就可以开门了，现在说三月底，我龋齿一直在疼，到现在疼了一个月了，上学什么的弱爆了，我只想把我的牙齿弄好,3月16日 23:13,,GuassEuler,"
            GuassEuler：别带节奏了，没说不让留学生回家…        ",3月17日 00:40
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,GuassEuler,别带节奏了，没说不让留学生回家…,3月17日 00:40,378,再见长跑者143,"
            再见长跑者143：你看完视频了？        ",3月17日 00:18
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,再见长跑者143,你看完视频了？,3月17日 00:18,123,你看这腰又大又圆,"
            你看这腰又大又圆：别说风凉话 在那种大环境下 珍爱生命 我选择回来        ",3月17日 01:08
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,你看这腰又大又圆,别说风凉话在那种大环境下珍爱生命我选择回来,3月17日 01:08,117,桂月又一,"
            桂月又一：说真的 我看了这么多新闻 不让我们留学生回家的不是国家 而是网友        ",3月17日 05:41
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,桂月又一,说真的我看了这么多新闻不让我们留学生回家的不是国家而是网友,3月17日 05:41,151,MiraculousGarden,"
            MiraculousGarden：你在瞎翻译些什么？？        ",3月17日 02:56
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,MiraculousGarden,你在瞎翻译些什么？？,3月17日 02:56,125,天行有常不为桀亡,"
            天行有常不为桀亡：猪一样的理解能力。        ",3月17日 03:13
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,天行有常不为桀亡,猪一样的理解能力。,3月17日 03:13,81,lumihiutalsh,"
            lumihiutalsh：加拿大政府现在号召所有在海外的加拿大人全部回加拿大 担心他们在海外得病无法得到足够的保障 对比一下不觉得自己对同胞太残忍吗 如果华人在外得了荣誉 这时候是不是又希望他们快点回家？共苦才能同甘啊        ",3月17日 04:35
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,lumihiutalsh,加拿大政府现在号召所有在海外的加拿大人全部回加拿大担心他们在海外得病无法得到足够的保障对比一下不觉得自己对同胞太残忍吗如果华人在外得了荣誉这时候是不是又希望他们快点回家？共苦才能同甘啊,3月17日 04:35,92,Melannd,"
            Melannd：我是留学生我在英国现场，不要因为某一些个例就抹黑我们全体留学生，我们也想过不给祖国增添麻烦，所以有极大多数留学生选择坚守英国。你们永远不知道在这里举目无亲政府无为自我抗战的感受，所以请收起你们的键盘，多工作，为祖国疫情后的经济复兴好好努力，谢谢。        ",3月17日 07:55
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,Melannd,我是留学生我在英国现场，不要因为某一些个例就抹黑我们全体留学生，我们也想过不给祖国增添麻烦，所以有极大多数留学生选择坚守英国。你们永远不知道在这里举目无亲政府无为自我抗战的感受，所以请收起你们的键盘，多工作，为祖国疫情后的经济复兴好好努力，谢谢。,3月17日 07:55,80,foolformichelle,"
            foolformichelle：所以有句话：中国大上半场，国外打下半场，留学生打全场        ",3月17日 06:25
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,foolformichelle,所以有句话：中国大上半场，国外打下半场，留学生打全场,3月17日 06:25,,mask伪装下的面具,"
            mask伪装下的面具：你回来有什么用？留学生都不喝白开水，回来渴死了怎么办？        ",3月17日 02:15
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,mask伪装下的面具,你回来有什么用？留学生都不喝白开水，回来渴死了怎么办？,3月17日 02:15,46,-姜大兔,"
            -姜大兔：当初国内疫情爆发的时候也没见留学生要回来呢，当时肯定特别庆幸自己没在国内        ",3月17日 07:58
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,-姜大兔,当初国内疫情爆发的时候也没见留学生要回来呢，当时肯定特别庆幸自己没在国内,3月17日 07:58,18,今天也想喝奶盖_,"
            今天也想喝奶盖_：我寻思着哪位在国外的同胞被国家阻拦回来了？只是因为出门转机更危险所以建议，慎重考虑。做好防控回来如实上报的也没不让人回来啊        ",3月17日 01:47
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,DAVID_WWW,中国是做了最适合中国的方案,3月16日 22:47,2855,,,
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,DAVID_WWW,中国是做了最适合中国的方案,3月16日 22:47,2855,十一丶心,"
            十一丶心：是的，中国采取了最适合中国的方案。因为别的国家用不了中国这样的方案。        ",3月16日 23:31
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,十一丶心,是的，中国采取了最适合中国的方案。因为别的国家用不了中国这样的方案。,3月16日 23:31,88,青山绿水伴夕阳,"
            青山绿水伴夕阳：同意中国抗疫不错，至少适合我们，防疫就不说了，等调查报告吧。        ",3月17日 00:30
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,青山绿水伴夕阳,同意中国抗疫不错，至少适合我们，防疫就不说了，等调查报告吧。,3月17日 00:30,22,看到请提醒我该刷题了,"
            看到请提醒我该刷题了：可以回，听从指挥，做好隔离防护，更希望的是，危难关头想到祖国，学成之后能归来建设祖国，早日实现中华民族的伟大复兴        ",3月17日 07:37
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,看到请提醒我该刷题了,可以回，听从指挥，做好隔离防护，更希望的是，危难关头想到祖国，学成之后能归来建设祖国，早日实现中华民族的伟大复兴,3月17日 07:37,27,叶晓拉44666,"
            叶晓拉44666：隔离是唯一有效的办法，中国之所以取得成绩还是因为隔离作的好，不然现在基本崩溃吧，在中国隔离不是跟你商量，不隔离是违法的，觉得不想隔离，隔离麻烦的，觉得那个国家条件好，去那        ",3月17日 02:34
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,叶晓拉44666,隔离是唯一有效的办法，中国之所以取得成绩还是因为隔离作的好，不然现在基本崩溃吧，在中国隔离不是跟你商量，不隔离是违法的，觉得不想隔离，隔离麻烦的，觉得那个国家条件好，去那,3月17日 02:34,16,小哈鲁6,"
            小哈鲁6：张文宏:  各国有适合各自的防疫体系    都是对的        ",3月17日 09:25
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,小哈鲁6,张文宏:各国有适合各自的防疫体系都是对的,3月17日 09:25,5,hebfjdiiehfbns,"
            hebfjdiiehfbns：论矛盾的普遍性与特殊性        ",3月17日 08:02
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,hebfjdiiehfbns,论矛盾的普遍性与特殊性,3月17日 08:02,4,丁零当啷吧,"
            丁零当啷吧：最近回国的确诊病例概率那么高 如果防护不到位在密闭的机舱里被传染也是很有可能的 所以最好的防护还是不出门        ",3月17日 09:43
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,丁零当啷吧,最近回国的确诊病例概率那么高如果防护不到位在密闭的机舱里被传染也是很有可能的所以最好的防护还是不出门,3月17日 09:43,2,CHJBYN_toto,"
            CHJBYN_toto：对啊 每个国家国情不同 处理方式肯定也不一样        ",3月17日 10:45
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,CHJBYN_toto,对啊每个国家国情不同处理方式肯定也不一样,3月17日 10:45,,冰城极光54563,"
            冰城极光54563：中国:抄答案可以，别把名都给抄了，还有注意审题，我们的卷子不一样        ",3月17日 00:18
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,冰城极光54563,中国:抄答案可以，别把名都给抄了，还有注意审题，我们的卷子不一样,3月17日 00:18,32,一秒重生八佰刀尖,"
            一秒重生八佰刀尖：世界上有那么多国家，每个国家政府都是由精英组成的，各自国情不同，相信每个国家政府都不愿意国家完蛋，他们只是采取了适合自己的方案，包括英国，不要老指责别国的防疫，造成海外尤其留学生（国内家长）的恐慌！        ",3月17日 04:25
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,一秒重生八佰刀尖,世界上有那么多国家，每个国家政府都是由精英组成的，各自国情不同，相信每个国家政府都不愿意国家完蛋，他们只是采取了适合自己的方案，包括英国，不要老指责别国的防疫，造成海外尤其留学生（国内家长）的恐慌！,3月17日 04:25,17,临安一,"
            临安一：最后说每个国家都做的挺好的。这不就是战忽局吗？对对对，你们做的不错，加油持续下去等感染了记得来买我的口罩和呼吸机。        ",3月17日 04:37
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,临安一,最后说每个国家都做的挺好的。这不就是战忽局吗？对对对，你们做的不错，加油持续下去等感染了记得来买我的口罩和呼吸机。,3月17日 04:37,10,渴不渴以再,"
            渴不渴以再：回复@南亭楠:这就是体制的问题了        ",3月18日 01:27
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,渴不渴以再,回复@南亭楠:这就是体制的问题了,3月18日 01:27,,渴不渴以再,"
            渴不渴以再：回复@南亭楠:你说的我都懂，不是无法交流。说到底其实是在政府的能力不足情况下，选择了一条残酷的道路        ",3月18日 01:27
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,渴不渴以再,回复@南亭楠:你说的我都懂，不是无法交流。说到底其实是在政府的能力不足情况下，选择了一条残酷的道路,3月18日 01:27,,渴不渴以再,"
            渴不渴以再：回复@南亭楠:        ",3月18日 01:25
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,吃阳光长大的橘子,中国不是一定做的比别的国家好，中国只是采取了最适合中国的措施,3月16日 23:03,2648,,,
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,扛着这一边,张主任是个实在人。保护好自己,3月16日 22:56,1545,,,
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,扛着这一边,张主任是个实在人。保护好自己,3月16日 22:56,1545,半空里潇洒,"
            半空里潇洒：真的，建议那些留学生不要回国，因为路上风险非常高，还不如在当地囤好物资，好好隔离        ",3月17日 00:02
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,半空里潇洒,真的，建议那些留学生不要回国，因为路上风险非常高，还不如在当地囤好物资，好好隔离,3月17日 00:02,133,达拉崩巴米娅,"
            达拉崩巴米娅：建议好好那边待着，要不路上再感染了，隔离那么多人，没有也有了治好了也后遗症        ",3月17日 03:05
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,达拉崩巴米娅,建议好好那边待着，要不路上再感染了，隔离那么多人，没有也有了治好了也后遗症,3月17日 03:05,40,smile阿迪,"
            smile阿迪：我只看他的报道        ",3月17日 08:34
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,smile阿迪,我只看他的报道,3月17日 08:34,3,战术回归,"
            战术回归：说话不背红书，担忧        ",3月18日 18:48
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,战术回归,说话不背红书，担忧,3月18日 18:48,,2曦曦6083577454,"
            2曦曦6083577454：回复@夕木木木夕:大家都囤货肯定不够        ",3月19日 22:11
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,2曦曦6083577454,回复@夕木木木夕:大家都囤货肯定不够,3月19日 22:11,1,夕木木木夕,"
            夕木木木夕：回复@2曦曦6083577454:突然后悔没把原来的旧手机带来了。。。原来三星手机自带测血氧心跳功能，用了几年电池不行了就换了。唉。现在可能英国物资也不太够，昨天买菜订单被取消，想回来了。但不知道周五伦敦是否封城。加油吧        ",3月19日 16:44
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,夕木木木夕,回复@2曦曦6083577454:突然后悔没把原来的旧手机带来了。。。原来三星手机自带测血氧心跳功能，用了几年电池不行了就换了。唉。现在可能英国物资也不太够，昨天买菜订单被取消，想回来了。但不知道周五伦敦是否封城。加油吧,3月19日 16:44,,2曦曦6083577454,"
            2曦曦6083577454：回复@夕木木木夕:加油，如果在国外还要备一个血氧检测仪，如果有发烧咳嗽症状，测血氧低于93，代表必须接受氧疗了，需要打救护车马上去医院        ",3月19日 16:32
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,2曦曦6083577454,回复@夕木木木夕:加油，如果在国外还要备一个血氧检测仪，如果有发烧咳嗽症状，测血氧低于93，代表必须接受氧疗了，需要打救护车马上去医院,3月19日 16:32,,夕木木木夕,"
            夕木木木夕：回复@2曦曦6083577454:看了消息后想去网上下单买退烧药体温计来着。。。然而都售空了，并不知道实体店还有没有，唉        ",3月18日 08:24
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,夕木木木夕,回复@2曦曦6083577454:看了消息后想去网上下单买退烧药体温计来着。。。然而都售空了，并不知道实体店还有没有，唉,3月18日 08:24,,达拉崩巴米娅,"
            达拉崩巴米娅：回复@_19911227_:对不影响，反正不影响我，我又不去机场接你们        ",3月17日 11:19
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,达拉崩巴米娅,回复@_19911227_:对不影响，反正不影响我，我又不去机场接你们,3月17日 11:19,,达拉崩巴米娅,"
            达拉崩巴米娅：回复@叶晓拉44666:那些人哪懂，一说不让他们回来，就以为让他们死国外了        ",3月17日 11:18
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,达拉崩巴米娅,回复@叶晓拉44666:那些人哪懂，一说不让他们回来，就以为让他们死国外了,3月17日 11:18,,蒋瘦同学,"
            蒋瘦同学：回复@炫雅放心飞:集美，要保护好自己啊！！！        ",3月17日 09:52
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,蒋瘦同学,回复@炫雅放心飞:集美，要保护好自己啊！！！,3月17日 09:52,,南岸恋你的闹,"
            南岸恋你的闹：回复@炫雅放心飞:姐妹 保护好自己呀！        ",3月17日 09:43
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,南岸恋你的闹,回复@炫雅放心飞:姐妹保护好自己呀！,3月17日 09:43,,可爱的盛宴,"
            可爱的盛宴：回复@炫雅放心飞:保护第一位！其他慢慢来！        ",3月17日 09:33
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,可爱的盛宴,回复@炫雅放心飞:保护第一位！其他慢慢来！,3月17日 09:33,,炫雅放心飞,"
            炫雅放心飞：回复@中二病的陶然:呜呜呜感谢        ",3月17日 09:32
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,炫雅放心飞,回复@中二病的陶然:呜呜呜感谢,3月17日 09:32,,炫雅放心飞,"
            炫雅放心飞：回复@可爱的盛宴:嗯嗯！！我最近就下跟我爸妈商量这事，因为今年我还有大考，感觉一堆事堆到一起简直心态爆炸，不过一定会保护好自己的！！        ",3月17日 09:30
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,圆头冬瓜crrrrrrrr,评论真的太暖了，谢谢你们。这几天有很多恶意，说留学生“千里送毒”“不要脸”，很高兴也能看到很多关心我们的人。,3月16日 23:28,1073,,,
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,圆头冬瓜crrrrrrrr,评论真的太暖了，谢谢你们。这几天有很多恶意，说留学生“千里送毒”“不要脸”，很高兴也能看到很多关心我们的人。,3月16日 23:28,1073,JSXHXQW-7777777,"
            JSXHXQW-7777777：千里送毒，不要脸说的是那些瞒报行程，自私自利，回国避难却不配合国家隔离的入境人员，并不是说所有留学生！        ",3月16日 23:53
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,JSXHXQW-7777777,千里送毒，不要脸说的是那些瞒报行程，自私自利，回国避难却不配合国家隔离的入境人员，并不是说所有留学生！,3月16日 23:53,821,词汇631,"
            词汇631：只要回来的人按照安排来，祖国还是欢迎你们的。可恨的是又想回来但是又不听安排的那种人。        ",3月17日 00:00
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,词汇631,只要回来的人按照安排来，祖国还是欢迎你们的。可恨的是又想回来但是又不听安排的那种人。,3月17日 00:00,413,一只可爱蛋挞,"
            一只可爱蛋挞：大家其实骂的也都是那些故意隐瞒造成恐慌和危害的，祖国永远欢迎你们回家啊        ",3月17日 00:02
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,一只可爱蛋挞,大家其实骂的也都是那些故意隐瞒造成恐慌和危害的，祖国永远欢迎你们回家啊,3月17日 00:02,315,小猫不认识路,"
            小猫不认识路：已经感染了吃了加倍退烧药，不如实填报身体状况单，不骂留着供着啊。        ",3月17日 00:05
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,小猫不认识路,已经感染了吃了加倍退烧药，不如实填报身体状况单，不骂留着供着啊。,3月17日 00:05,251,再挑灯火-,"
            再挑灯火-：我们不欢迎的还有回来隔离非要喝矿泉水，张口闭口人权的外国狗这种人我建议你改国籍，真的，你好我好大家好。        ",3月17日 00:50
https://www.weibo.com/1926909715/IyViPhZtN?refer_flag=1001030103_&type=comment,,,,,,,,,,再挑灯火-,我们不欢迎的还有回来隔离非要喝矿泉水，张口闭口人权的外国狗这种人我建议你改国籍，真的，你好我好大家好。,3月17日 00:50,237,圆头冬瓜crrrrrrrr,"
            圆头冬瓜crrrrrrrr：统一解释，我是指那些不分青红皂白一棍子打死所有留学生的人。不如实申报的该骂，但不应该牵连到其他遵守法规留学生        ",3月17日 00:08
