comment_content,comment_time,no_of_likes,comments,sentiments_score,sentiments_class,sentiment_probability
然而来云南感染的武汉人基本都是是20号之后来的，那时候肺炎有关信息已经发布并强调无特殊原因不要出去，好几例明知自己发热咳嗽仍然坚持游玩云南各大景点，继续乘坐公共交通工具，不戴口罩……原谅我从理智和情感上都不能原谅这种人。,1月26日 23:16,25434.0,云南感染武汉20号肺炎信息发布原因几例明知发热咳嗽游玩云南各大景点乘坐公共交通工具不戴口罩原谅理智情感原谅,NaN,0,0.984664
这种人本身也不值得原谅！,1月26日 23:17,3889.0,值得原谅,NaN,0,0.999576
有个人明明已经发烧了还在昆明城绕了六天才去医院居心何在啊,1月26日 23:34,3959.0,明明发烧昆明城绕六天医院居心何在,NaN,0,0.99943
如果不是景区排查，还要在景区晃荡害多少人,1月26日 23:20,1904.0,景区排查景区晃荡害,NaN,0,0.920201
还有那个21号在昆明坐遍三条地铁线的,1月26日 23:36,1704.0,21号昆明坐遍三条地铁线,NaN,2,0.935149
是的，无法原谅，当时非典都没来到我们云南……现在就因为一些憨批乱跑，老老实实待着不好吗,1月26日 23:29,1471.0,原谅非典来到云南憨批乱跑不好,NaN,0,0.988729
云南人表示一脸懵逼突然就来了好多旅游的人还是在通知不要外出的时候来的,1月26日 23:31,1211.0,云南一脸懵逼好多旅游通知外出,NaN,0,0.953467
最可气的是在网上说了几句这些人后，还有武汉的人来骂我，微博挂我，让我给武汉人民交代，气死了,1月26日 23:35,1106.0,可气网上说几句人后武汉人来骂微博挂武汉交代气死,NaN,0,0.999598
嗯，大过年来云南旅游，还跟团。操作挺骚的,1月26日 23:19,904.0,大过年云南旅游团操作挺骚,NaN,2,0.84693
对，今天增加的一个病例居然在腾冲的景区排查的时候发现的，太可恨了！要害多少人！,1月26日 23:32,869.0,增加病例腾冲景区排查发现太可恨要害,NaN,0,0.997967
还有明明已经确诊了还要逃跑警察医生都找不到的那种人居心啊,1月26日 23:35,785.0,明明确诊逃跑警察医生找不到那种居心,NaN,0,0.999034
他妈的，本该欢喜的节日，居然让全国人民跟着遭殃，往自私点说，家里有亲戚做实体生意的，备足了货不休息想趁过年赚点，现在眼看着就要亏的血本无归，虽钱可以再赚，但这笔帐凭什么算到我们这些无辜老百姓头上，还殃及生命。吃野味的，卖野味的，市场老板，政府相关部门，这些有瓜葛的人全都是千古罪人,1月26日 23:33,767.0,他妈的本该欢喜节日全国跟着遭殃自私点说家里亲戚做实体生意备足货休息想过年赚点眼看亏血本无归虽钱赚这笔帐算无辜老百姓头上殃及生命吃野味卖野味市场老板政府相关部门瓜葛千古罪人,NaN,0,0.999864
对丫，云南开始只有三例，其中俩例都是武汉人来的，求求你们别来云南了，云南医疗条件太差了，跟别的省份真心比不了,1月26日 23:39,654.0,丫云南三例俩例武汉人来求求别来云南云南医疗条件太差省份真心,NaN,0,0.999875
早一点封城早一点重视这个病把数据透明上报就不会有现在这么多事这个锅武汉政府必须背上武汉人民委屈其他省人民难道就不委屈嘛,1月26日 23:38,672.0,早一点封城早一点重视病数据透明上报多事锅武汉政府背上武汉委屈省委屈,NaN,0,0.996215
同意在桂林发现的11例中有9例都是这样的武汉人，有的明明发热却坚持自驾游，有的在宣布这种病人传人以及知道23日封城后仍然在22日跑出武汉，哎，不值得原谅！,1月26日 23:46,575.0,同意桂林发现11例中例武汉明明发热自驾游病人传人23日封城后22日跑武汉值得原谅,NaN,0,0.998367
没人怪你们我是吉林的今天辽宁给你们送去了白菜东北老人总讲白菜能解毒希望你们吃白菜解百毒东北老铁给你们加油打气,1月26日 23:10,10437.0,没人怪吉林辽宁送白菜东北老人总讲白菜解毒希望吃白菜解百毒东北老铁加油打气,NaN,0,0.985658
谢谢东北和内蒙的老铁！有些评论看了真让人寒心！幸好有你们！,1月27日 11:06,256.0,谢谢东北内蒙老铁评论真让人寒心幸好,NaN,0,0.983145
内蒙送去了土豆内蒙土豆可好吃了多吃点土豆炖白菜不要再吃野味了哦武汉加油,1月27日 00:00,992.0,内蒙送土豆内蒙土豆好吃吃点土豆炖白菜吃野味武汉加油,NaN,2,0.98111
谢谢东北老铁们！真的仗义！我一个武汉人以后吃大白菜肯定会想起2020你们送来的十几吨大白菜！虽然我一直馋的是你们东北的铁锅炖鱼，铁锅一圈好像还烤着一个黄色的饼感觉很好吃样的。,1月27日 00:30,667.0,谢谢东北老铁们真的仗义武汉吃大白菜肯定想起2020送来十几吨大白菜馋东北铁锅炖鱼铁锅一圈好像烤黄色饼感觉好吃样,NaN,2,0.969489
看在大白菜的面子上，停止地域黑吧，东北人民真的可可爱爱,1月27日 00:54,525.0,大白菜面子停止地域黑东北真的可爱爱,NaN,0,0.875894
东北有句老话叫，百菜不如白菜，这句话很有道理，把手洗干净，白菜直接用手撕碎，少放点盐，放上豆腐和内蒙古兄弟支援的土豆，炖一锅热热的汤，味道超级好，还暖胃，作用是利尿！,1月27日 01:35,349.0,东北有句老话百菜白菜这句话道理把手洗干净白菜用手撕碎少放点盐放豆腐内蒙古兄弟支援土豆炖一锅热热汤味道超级暖胃作用利尿,NaN,2,0.951059
东北人民真的可可爱爱,1月26日 23:55,317.0,东北真的可爱爱,NaN,2,0.965351
感谢东北老铁，，留守武汉人表示已经四天没吃到青菜了😭,1月27日 00:04,276.0,感谢东北老铁留守武汉四天吃青菜😭,NaN,NaN,NaN
还有医护人员！我嫂子作为辽宁驰援湖北医疗队的一员，今日奔赴武汉了，武汉快点好起来吧，愿所有的医护英雄平安归来！,1月27日 00:03,213.0,医护人员嫂子辽宁驰援湖北医疗队一员今日奔赴武汉武汉快点愿医护英雄平安归来,NaN,2,0.994659
突然发现上海送ecmo虽然很牛批很有钱但是和我好像也没啥关系（虽然俺也募捐了）感觉还不如送土豆炖白菜接地气要是小笼包能捐我买点小笼包寄过去？（bushi,1月27日 00:14,149.0,发现上海送ecmo牛批有钱好像关系募捐感觉送土豆炖白菜接地气小笼包捐买点小笼包寄过去bushi,NaN,0,0.995447
不用感谢别地域黑东北就是最大感谢了我在武汉至少遇到十个地域黑骂东北的,1月27日 01:54,128.0,不用感谢地域黑东北感谢武汉至少十个地域黑骂东北,NaN,2,0.902931
我就是沈阳的，这130吨白菜是我们政府紧急调配的，希望武汉留守人民能够挺过最艰难的日子，全国人民都在关注武汉，期待你们那边传来的好消息，加油！,1月27日 07:08,114.0,沈阳130吨白菜政府紧急调配希望武汉留守挺过艰难日子全国关注武汉期待传来好消息加油,NaN,2,0.91624
看到这条还挺感动，因为极个别东北被黑的很惨其实东北人真的很好,1月27日 06:05,118.0,这条挺感动极个别东北黑很惨东北真的,NaN,2,0.866598
老铁说的对白菜解百毒，来自辽宁人的打气，加油💪,1月27日 00:05,106.0,老铁说白菜解百毒辽宁人打气加油💪,NaN,NaN,NaN
俺东北送过去的白菜跟内蒙古送过去的土豆子一顿，加点五花肉，贼香,1月27日 00:50,97.0,东北送白菜内蒙古送土豆子一顿加点五花肉贼香,NaN,2,0.908475
加油，我还没去过武汉，等事情过去了，我想去这个美丽的地方看樱花,1月26日 23:06,1813.0,加油去过武汉事情想美丽地方樱花,NaN,2,0.999534
加油，我还没去过武汉，等事情过去了，我想去这个美丽的地方看樱花,1月26日 23:06,1813.0,加油去过武汉事情想美丽地方樱花,NaN,2,0.999534
说因为病毒永远不来武汉的，我想说中国除了西藏都有风险，这边建议你移民，哦对了，美国法国加拿大日韩也不太建议移民呢,1月27日 04:52,5.0,说病毒永远武汉想说中国西藏风险建议移民美国法国加拿大日韩太建议移民,NaN,0,0.970319
别去户部巷！别去户部巷！别去户部巷！！！,1月27日 00:45,85.0,别去户部巷别去户部巷别去户部巷,NaN,0,0.998073
一定要来武汉鸭！我们一起等待春暖花开，等待武汉这次病痊愈！,1月26日 23:48,78.0,武汉鸭等待春暖花开等待武汉病痊愈,NaN,2,0.997974
额，我没想到那么多人回复我，单纯的只是想等武汉“病”好了去看看那里的建筑风景，吃那里的美食，也谢谢那些关心我健康的人我还是相信我的祖国相信武汉的恢复能力相信那些为疫情付出的人们，感谢那些为我之后去武汉提供旅游路线和没事的可爱同胞们,1月27日 01:03,38.0,额没想到多人回复想武汉病建筑风景吃美食谢谢关心健康祖国武汉恢复能力疫情付出感谢武汉提供旅游路线没事可爱同胞们,NaN,2,0.996642
我也想去看樱花🌸,1月26日 23:39,21.0,想樱花🌸,NaN,NaN,NaN
活着不好吗？,1月26日 23:45,18.0,活着不好,NaN,0,0.999598
我超爱吃常青麦香园的热干面~等这次过去了还要去吃,1月26日 23:57,18.0,超爱吃常青麦香园热干面吃,NaN,2,0.998714
大武汉欢迎你啊，先要好好照顾之后才能去武汉看樱花呀,1月26日 23:44,14.0,武汉先好好照顾武汉樱花,NaN,2,0.997987
人民没错错的只有两部分一部分吃野味的一部分人数比较少人称四大天王,1月26日 23:50,12.0,没错错两一部分吃野味一部分人数少人称四大天王,NaN,0,0.791582
等疫情好了以后欢迎来武汉做客,1月26日 23:39,13.0,疫情武汉做客,NaN,2,0.99472
我也是！我很久以前就喜欢武汉了，之前想考武汉的大学的，但很遗憾考不上！想去吃那里的热干面最重要的是想去那里看樱花！,1月27日 00:31,11.0,很久以前喜欢武汉想考武汉大学遗憾考不上想吃热干面想樱花,NaN,2,0.994215
有没有别的推荐因为我不吃面食,1月27日 00:04,4.0,有没有推荐不吃面食,NaN,1,0.520718
还去武汉看樱花你心真大，我都想骂死那些吃野味，明明禁止外出还偷偷溜走的武汉人了，害死全国人民了，想工作没办法工作，没钱,1月27日 00:02,9.0,武汉樱花心真大想骂死吃野味明明禁止外出偷偷溜走武汉害死全国想工作办法工作钱,NaN,0,0.999132
加油，我们能扛过去的,1月26日 23:05,5884.0,加油扛过去,NaN,2,0.999903
加油，我们能扛过去的,1月26日 23:05,5884.0,加油扛过去,NaN,2,0.999903
